Latitude,Longitude,Rainfall (mm),Temperature (°C),Humidity (%),River Discharge (m³/s),Water Level (m),Elevation (m),Land Cover,Soil Type,Population Density,Infrastructure,Historical Floods,Flood Occurred
18.22042,76.94864,8.25,25.5,40.0,384.5,1.11,761.5,Agricultural,Clay,3723.9,1,0,0
19.86602,85.22784,37.57,26.6,62.5,4364.1,10.4,52.6,Water Body,Alluvial,5171.7,1,0,1
26.03912,83.08365,26.85,25.4,48.0,5300.0,12.19,101.6,Agricultural,Alluvial,2214.7,0,2,1
27.31069,71.61974,16.07,38.5,58.0,117.1,0.38,341.0,Agricultural,Loam,567.0,0,0,0
26.21625,95.38321,1.9,32.1,47.9,4044.1,6.48,59.3,Forest,Alluvial,11410.1,1,1,0
28.85408,77.65649,12.45,29.9,37.2,2512.3,5.13,222.9,Wetland,Clay,4902.8,1,2,0
29.26683,77.42594,73.79,26.0,55.4,3523.6,8.49,231.0,Urban,Loam,4304.0,1,2,1
25.42567,84.4683,36.4,31.0,51.8,3077.3,8.48,92.4,Agricultural,Clay,8887.1,0,1,1
19.09572,76.31704,22.78,25.1,57.5,554.4,0.2,533.5,Agricultural,Clay,3852.6,0,0,0
27.965,71.91962,13.55,23.0,20.0,212.5,2.59,341.4,Urban,Sandy,9463.0,0,7,0
11.49064,75.86146,94.74,33.0,79.1,3726.5,10.66,150.0,Agricultural,Alluvial,5001.2,1,0,1
16.73642,81.06952,138.01,30.3,86.1,5055.1,15.57,158.1,Forest,Clay,4784.7,1,1,1
28.34456,77.29263,44.26,30.5,45.6,3459.4,9.62,190.6,Wetland,Clay,3714.3,1,1,1
22.86359,78.3895,23.38,28.2,51.6,2008.5,4.97,200.1,Urban,Alluvial,3816.1,1,3,0
29.37151,76.84545,210.28,28.5,100.0,6027.1,18.0,204.0,Urban,Clay,4498.9,1,0,1
25.90982,72.31296,3.94,36.8,23.5,131.7,0.2,156.5,Urban,Sandy,5233.0,1,6,0
19.14631,76.28929,10.6,28.5,62.0,380.8,2.26,507.7,Water Body,Clay,1136.7,0,0,0
16.32966,81.83475,531.21,29.0,100.0,16118.9,18.0,150.1,Agricultural,Alluvial,11467.0,1,1,1
27.2411,90.06731,2.47,13.3,37.6,4028.5,8.85,69.6,Water Body,Sandy,1425.5,1,3,0
10.93682,76.48234,28.74,33.8,29.0,1884.0,3.09,143.8,Water Body,Alluvial,6362.3,1,2,0
10.40429,76.56741,73.8,31.1,72.9,2578.7,8.58,161.3,Urban,Clay,4362.1,1,2,1
22.68603,74.40034,31.83,29.2,64.0,2407.2,6.16,238.1,Urban,Silt,4403.0,0,0,0
21.70508,75.80389,27.18,37.8,49.9,1974.4,5.03,105.7,Water Body,Sandy,1108.5,0,5,0
26.87374,95.42166,283.53,32.5,100.0,19262.2,18.0,99.0,Urban,Alluvial,1944.2,1,5,1
25.87379,84.76094,26.66,28.2,48.8,3804.9,7.97,51.8,Agricultural,Alluvial,10730.1,1,3,1
29.04347,77.27958,93.44,38.4,89.4,3151.5,10.27,219.2,Agricultural,Silt,7447.6,0,2,1
22.52982,74.68613,9.95,26.1,37.6,1712.5,3.07,77.5,Urban,Silt,1330.7,1,2,0
21.49533,86.65186,236.9,37.1,100.0,11233.9,18.0,55.3,Agricultural,Clay,10127.6,0,7,1
20.52324,85.71826,11.59,22.1,53.6,2659.6,5.92,32.0,Agricultural,Clay,1001.2,0,0,0
10.46252,76.0219,11.04,28.7,31.6,2721.8,6.18,140.1,Urban,Silt,9053.3,0,7,0
25.71751,72.01691,15.34,31.4,53.7,192.4,1.28,335.3,Urban,Alluvial,7751.6,1,1,0
27.39044,72.30779,27.59,32.2,76.2,266.3,0.2,292.8,Agricultural,Clay,6569.5,0,1,0
9.46887,76.83382,48.94,30.5,52.1,3130.4,9.71,129.3,Water Body,Loam,2159.4,0,1,1
9.52919,76.025,81.74,27.2,71.7,2386.8,8.04,145.7,Agricultural,Loam,6226.5,1,2,1
21.02783,86.22809,112.48,21.7,82.7,5952.7,15.24,59.9,Water Body,Clay,5049.9,1,7,1
17.18121,76.45093,41.13,29.5,63.1,612.6,2.78,456.3,Forest,Alluvial,7084.9,1,2,0
18.95433,77.25885,5.38,27.2,36.7,374.2,1.69,493.0,Agricultural,Alluvial,7451.6,0,4,0
21.13924,85.94893,50.85,22.0,24.4,4956.3,12.23,23.0,Urban,Silt,3279.4,1,1,1
18.30415,80.47846,65.03,27.8,49.5,5963.5,14.14,112.9,Urban,Loam,2834.9,1,1,1
25.58406,92.49078,7.48,27.9,60.7,1854.3,4.83,102.1,Agricultural,Clay,2200.8,0,5,0
10.93247,76.09953,89.73,34.5,45.3,3238.9,8.97,180.5,Agricultural,Clay,4335.5,1,6,1
15.02704,75.45656,38.72,27.4,67.5,446.8,2.68,702.8,Agricultural,Silt,550.8,0,1,0
28.35961,77.67644,85.2,30.0,78.8,4627.2,11.69,222.1,Agricultural,Alluvial,10035.6,0,4,1
26.52644,71.67786,17.31,33.4,45.7,163.4,1.98,339.7,Urban,Alluvial,6683.0,1,1,0
22.59659,75.60852,138.5,34.0,100.0,4347.3,14.36,85.7,Water Body,Clay,1179.2,0,2,1
9.44513,75.95402,37.19,24.9,63.1,2559.7,8.2,60.1,Agricultural,Silt,5090.8,1,2,1
25.19908,86.40427,78.56,26.2,50.6,5908.2,13.35,37.5,Forest,Alluvial,6970.3,1,3,1
21.7295,75.91877,46.57,30.3,52.9,2806.8,6.33,122.9,Agricultural,Alluvial,4477.9,0,4,0
16.80458,75.46529,32.13,24.1,62.4,352.2,2.69,736.7,Urban,Silt,1987.1,1,2,0
18.51948,76.52516,25.75,29.2,49.1,529.7,2.51,715.7,Forest,Alluvial,8171.0,0,3,0
25.91532,93.03729,3.8,24.1,54.0,4626.5,9.92,140.7,Water Body,Silt,4101.6,1,0,0
15.71905,75.12553,23.83,34.7,37.6,476.6,1.4,476.9,Agricultural,Loam,4097.5,1,6,0
24.85856,87.46079,176.55,32.2,100.0,11670.9,18.0,31.9,Agricultural,Clay,7679.1,1,8,1
26.1773,72.59008,0.04,20.6,36.4,167.1,0.93,296.5,Agricultural,Alluvial,10959.9,0,0,0
27.37877,71.37302,18.52,28.3,36.6,264.4,0.62,340.0,Urban,Sandy,3087.4,1,3,0
18.11048,79.82491,31.5,31.1,57.1,2607.0,6.72,27.5,Agricultural,Clay,6490.4,0,2,0
26.47045,81.73117,21.6,29.9,29.4,6090.9,14.34,103.4,Urban,Silt,3481.0,0,6,1
27.98268,70.64169,32.19,24.9,63.0,189.5,1.53,215.8,Agricultural,Sandy,1669.8,1,9,0
25.98835,84.34469,148.0,35.0,78.2,7866.6,18.0,83.3,Water Body,Loam,8038.0,1,5,1
26.16903,71.45476,1.34,24.8,47.6,191.0,0.35,336.0,Urban,Silt,3052.1,1,0,0
26.79712,84.55974,28.76,29.9,50.6,3601.0,8.76,30.6,Forest,Clay,9446.2,0,4,1
28.37047,71.86749,32.26,27.0,53.6,238.7,0.73,276.5,Urban,Clay,4412.2,1,0,0
27.17636,85.90842,88.65,21.3,87.6,8248.5,18.0,70.1,Agricultural,Alluvial,2243.7,1,7,1
28.7868,76.96362,82.82,34.0,84.7,3899.7,9.64,229.7,Wetland,Clay,7806.9,0,1,1
28.60554,77.12074,95.88,30.6,70.1,4585.7,13.74,226.2,Agricultural,Clay,2247.3,0,0,1
18.58589,77.08091,19.68,29.9,55.4,469.7,2.75,716.4,Urban,Alluvial,8352.6,0,1,0
25.56289,73.10608,10.71,30.3,43.3,161.6,0.2,215.2,Forest,Clay,11706.5,1,3,0
28.01043,73.6194,7.86,27.8,37.9,251.9,0.75,157.9,Forest,Clay,513.3,0,2,0
27.52983,90.2703,48.71,31.8,45.3,7087.8,15.91,130.7,Urban,Silt,7299.4,1,3,1
27.48171,73.98388,19.42,33.7,40.4,228.5,1.26,292.8,Agricultural,Loam,6506.3,1,0,0
22.50857,76.75147,57.39,27.4,35.8,3090.1,8.39,179.4,Agricultural,Alluvial,2275.4,0,3,1
18.49157,82.13194,14.47,26.7,47.6,3685.4,7.76,124.1,Forest,Loam,5335.7,0,2,0
20.65824,85.80392,84.25,28.6,65.0,7103.8,18.0,51.0,Forest,Loam,11908.7,0,2,1
29.00986,77.43156,9.87,31.2,46.6,2114.5,4.02,226.7,Wetland,Alluvial,10310.9,1,1,0
17.5709,76.58908,21.12,25.1,27.9,656.2,3.25,483.3,Agricultural,Alluvial,3122.2,1,2,0
26.50811,71.49486,14.72,27.4,41.0,160.0,2.47,273.4,Water Body,Silt,7190.1,1,1,0
20.25857,84.63701,262.05,32.3,100.0,11648.5,18.0,52.2,Urban,Alluvial,11844.9,1,0,1
25.57551,88.28478,24.93,19.5,52.2,3735.1,8.37,82.2,Urban,Alluvial,11301.9,1,1,0
16.41597,81.31603,131.69,31.5,75.1,6003.9,18.0,91.0,Forest,Silt,7019.1,0,7,1
20.95007,85.01762,47.56,25.5,60.2,5526.0,12.44,61.1,Forest,Clay,8966.0,1,2,1
20.93491,86.43883,151.86,34.8,90.0,8155.9,18.0,68.4,Urban,Alluvial,4651.0,0,3,1
27.0877,72.68275,0.18,23.7,43.8,197.9,0.96,238.9,Agricultural,Clay,11437.2,1,6,0
26.33068,72.09529,9.15,35.2,50.0,186.0,1.36,266.0,Wetland,Alluvial,2671.0,0,3,0
27.29143,72.0203,7.83,26.9,37.6,179.1,2.5,189.4,Forest,Sandy,6574.2,1,0,0
25.75977,88.3138,62.83,26.6,68.2,7089.0,15.74,104.1,Urban,Silt,5324.5,0,5,1
17.29045,75.10322,20.32,40.5,52.1,539.2,2.68,450.9,Urban,Clay,10908.3,1,3,0
16.89474,81.47629,72.34,31.6,73.5,4321.7,10.15,156.2,Urban,Alluvial,10483.4,1,2,1
21.54019,76.70986,47.47,26.5,40.2,2614.7,8.88,213.9,Wetland,Alluvial,8463.7,0,2,1
10.86639,75.8174,204.92,21.6,100.0,5873.8,18.0,74.8,Agricultural,Loam,7310.7,0,2,1
22.10349,73.84712,4.2,26.2,49.9,2339.6,4.91,190.1,Forest,Clay,4162.3,0,3,0
10.0705,76.19924,70.95,32.9,43.3,3870.9,10.66,199.1,Urban,Clay,5303.2,1,0,1
18.71588,77.30338,10.19,29.3,52.9,448.3,2.22,532.1,Forest,Alluvial,9161.1,0,5,0
21.77082,73.81555,15.48,23.8,27.0,1529.5,3.0,81.8,Agricultural,Silt,3644.6,1,5,0
23.06297,75.98482,114.4,29.4,78.9,4272.8,12.13,317.9,Water Body,Silt,9564.4,0,0,1
16.25266,79.91524,205.02,32.2,100.0,7461.1,18.0,55.8,Agricultural,Loam,2014.7,1,5,1
20.65436,85.45679,43.52,31.3,55.9,3150.7,7.23,25.2,Agricultural,Clay,1625.7,1,1,1
26.36048,81.7162,129.0,25.9,84.4,8166.5,18.0,35.5,Urban,Alluvial,1572.1,1,0,1
20.87642,85.04935,23.7,31.2,36.0,4334.9,10.04,31.3,Forest,Clay,7987.3,0,2,1
22.90681,77.16807,0.67,26.4,20.0,1566.2,3.47,257.7,Agricultural,Alluvial,540.6,0,8,0
24.95508,80.84107,26.27,29.0,75.8,4145.7,8.8,63.4,Urban,Silt,3224.3,1,5,1
21.26126,85.44174,13.57,30.3,36.0,3476.0,7.1,81.9,Wetland,Alluvial,9461.6,1,2,0
19.24412,76.51901,1.38,23.6,41.2,414.4,2.25,664.9,Forest,Alluvial,1383.6,1,0,0
15.05845,74.89604,9.81,30.1,43.2,378.2,2.04,628.0,Agricultural,Clay,10034.2,0,2,0
26.17952,94.18457,52.93,27.5,55.5,8376.1,18.0,108.7,Forest,Clay,886.6,1,4,1
15.10397,76.11224,14.71,24.2,49.5,375.9,1.4,772.1,Agricultural,Clay,4908.4,0,1,0
20.00655,84.97393,98.6,32.9,67.5,6221.5,15.96,77.1,Forest,Clay,10167.2,1,4,1
22.78042,74.84666,78.11,30.5,59.2,2667.7,7.91,195.7,Agricultural,Clay,9194.9,1,3,1
22.46054,76.94443,60.68,26.2,67.0,2779.5,7.57,285.8,Urban,Loam,11905.0,0,2,1
25.28969,84.94068,81.35,26.7,55.1,7155.4,18.0,96.0,Urban,Loam,809.6,1,1,1
26.62082,85.92703,156.82,30.0,54.7,9485.9,18.0,98.1,Forest,Loam,2919.6,0,3,1
22.68255,73.51609,26.36,26.5,79.9,2020.6,5.07,217.3,Agricultural,Clay,6903.7,1,3,0
26.24515,80.68346,86.02,31.0,60.3,7594.4,17.66,59.0,Agricultural,Clay,1819.6,1,1,1
19.90632,86.42328,125.67,25.0,77.5,7170.8,18.0,68.7,Urban,Loam,11897.1,1,4,1
16.6243,80.47804,1.73,29.6,20.0,2855.0,5.65,73.5,Agricultural,Clay,10523.7,1,1,0
26.50091,95.14291,109.72,29.4,80.2,8915.0,18.0,117.7,Agricultural,Sandy,5875.9,0,1,1
21.9449,74.73489,17.22,33.1,36.4,2781.7,5.92,294.7,Urban,Clay,789.9,0,6,0
26.21072,71.76076,1.08,32.5,29.7,111.8,0.37,304.4,Water Body,Clay,10003.3,1,3,0
18.45698,80.19263,14.35,23.0,74.0,3025.1,6.81,124.7,Agricultural,Alluvial,2154.5,0,1,0
10.77263,76.39962,30.96,33.6,23.4,2601.9,7.38,196.3,Forest,Alluvial,10224.3,0,0,0
22.94496,76.84511,31.84,31.8,75.8,2382.5,5.24,174.8,Water Body,Clay,1002.7,1,1,0
11.20591,76.39933,168.34,24.6,100.0,5850.2,17.62,154.1,Agricultural,Clay,1492.2,0,1,1
21.15719,85.39264,48.11,28.4,46.3,4317.7,9.83,46.6,Urban,Clay,9186.8,0,1,1
26.3859,74.16036,2.06,33.4,48.6,184.4,0.2,256.6,Water Body,Alluvial,11808.8,0,1,0
19.23815,76.56659,11.61,25.7,46.5,465.6,1.51,503.2,Agricultural,Sandy,5246.0,1,3,0
25.19829,87.55542,15.05,29.1,42.1,6075.2,12.83,68.5,Water Body,Alluvial,8885.4,0,5,1
21.36095,84.7658,420.69,30.2,100.0,15774.4,18.0,68.2,Water Body,Silt,6495.0,0,0,1
26.05171,90.60924,65.83,32.4,78.1,5754.1,14.7,78.3,Water Body,Clay,11757.6,1,0,1
25.58025,85.99062,16.34,27.2,52.0,3937.2,9.04,36.3,Forest,Loam,6346.8,0,1,1
29.1921,77.20831,163.75,32.1,90.2,6275.1,18.0,228.0,Urban,Alluvial,4921.2,0,1,1
17.45729,80.52708,7.63,26.6,41.6,3014.2,6.44,176.3,Agricultural,Silt,3789.7,1,4,0
27.93811,74.42719,9.83,31.6,70.3,135.6,2.27,274.3,Urban,Alluvial,1192.8,0,0,0
26.57817,91.51721,38.8,33.7,43.2,6727.9,15.47,105.8,Agricultural,Silt,2549.8,0,1,1
26.15617,92.24634,171.23,37.4,100.0,11296.2,18.0,69.5,Agricultural,Loam,6492.8,0,5,1
26.90955,85.07418,47.84,26.1,34.8,6103.6,14.9,76.6,Water Body,Clay,7442.2,1,3,1
28.50866,77.31236,33.97,38.8,49.8,3015.1,7.6,195.2,Forest,Clay,7755.6,0,1,0
25.59146,93.24321,30.02,17.7,32.1,8434.4,17.46,139.8,Agricultural,Clay,5901.7,1,2,1
25.51763,91.04869,12.57,33.9,37.5,5605.8,13.82,44.0,Agricultural,Sandy,5005.4,0,3,1
17.31748,77.17563,0.6,27.7,41.6,478.2,0.91,651.2,Urban,Clay,8866.4,1,3,0
27.39472,95.24384,0.17,26.8,41.8,6321.4,13.37,130.3,Urban,Clay,5692.3,0,0,1
18.48124,74.99172,8.76,29.8,48.4,326.0,2.07,478.1,Agricultural,Alluvial,7778.7,1,3,0
29.14116,76.92056,4.81,23.9,43.0,2287.5,4.57,235.1,Agricultural,Clay,7095.5,0,0,0
25.99692,92.45966,7.67,33.7,38.7,4014.2,8.15,129.8,Agricultural,Silt,7247.3,0,2,0
29.31483,77.71664,26.88,20.7,63.5,3663.5,8.85,211.5,Forest,Clay,2335.6,0,0,0
18.53811,77.35594,14.56,34.7,39.1,371.7,1.4,568.9,Water Body,Clay,10164.0,1,3,0
20.08451,86.83286,360.25,24.0,100.0,14636.6,18.0,31.0,Wetland,Clay,4987.0,0,0,1
16.86526,81.93022,202.91,32.1,100.0,8638.2,18.0,38.6,Wetland,Alluvial,11549.2,0,2,1
22.42039,74.27073,46.81,31.9,62.4,1832.1,4.79,199.5,Agricultural,Alluvial,1068.7,0,1,0
10.4531,75.98177,979.06,30.5,100.0,20801.9,18.0,120.8,Forest,Alluvial,4179.5,1,2,1
10.10882,75.84341,93.98,30.1,78.5,4201.4,11.61,100.4,Urban,Loam,1847.9,1,1,1
21.75295,75.81338,39.63,30.1,66.4,1861.7,4.37,314.9,Urban,Loam,4883.9,1,2,0
26.54172,87.65562,49.81,35.8,77.8,5591.5,13.96,71.0,Wetland,Alluvial,436.7,1,1,1
14.83103,77.18535,14.28,32.0,47.3,455.2,1.08,606.9,Forest,Loam,8433.4,0,1,0
25.60018,86.36441,134.04,34.4,69.6,9065.1,18.0,77.6,Forest,Alluvial,5029.6,1,1,1
20.49208,84.65842,11.18,20.5,46.5,3558.7,6.84,39.4,Forest,Loam,982.6,0,2,0
25.47441,86.92786,44.15,27.7,63.1,4013.9,9.39,113.6,Forest,Sandy,7400.5,0,3,1
21.81933,77.09896,36.3,30.0,68.2,2644.8,8.27,284.1,Agricultural,Alluvial,3917.1,0,3,0
20.04289,86.36083,65.22,25.9,57.9,4867.8,12.03,34.0,Forest,Alluvial,401.6,1,0,1
22.70186,73.81345,0.23,32.7,29.7,1508.0,2.78,276.6,Agricultural,Alluvial,10175.5,0,4,0
28.76396,77.70994,232.85,30.2,100.0,5981.4,18.0,208.9,Forest,Loam,450.6,0,4,1
18.42191,81.5548,78.81,26.2,63.8,5049.3,13.69,172.1,Urban,Clay,11498.9,1,2,1
26.32262,86.66624,166.49,30.0,82.4,11667.1,18.0,30.3,Agricultural,Silt,8873.8,1,4,1
10.59783,76.12483,126.54,25.1,97.8,3739.3,13.01,36.0,Forest,Alluvial,10726.5,0,2,1
27.88158,73.62806,1.26,24.1,49.9,158.5,0.42,258.8,Urban,Loam,4230.8,1,1,0
28.37225,72.57613,4.49,32.2,50.2,173.2,0.51,285.5,Urban,Alluvial,9333.8,1,0,0
22.24036,75.1605,80.6,31.8,53.5,4047.8,12.25,142.3,Forest,Clay,10599.4,1,2,1
18.65095,76.90702,10.15,27.2,41.4,366.3,0.43,610.3,Agricultural,Loam,5896.2,0,7,0
25.83706,72.62295,12.41,35.6,48.2,193.5,0.2,280.2,Forest,Silt,10227.5,0,1,0
17.41271,81.94734,66.92,34.6,52.6,3881.4,10.04,46.2,Forest,Loam,11195.0,1,1,1
15.21166,77.38642,5.54,38.1,42.0,403.2,0.71,635.4,Water Body,Clay,6740.3,0,0,0
22.25742,74.54593,111.34,27.1,86.0,3085.0,10.25,63.5,Agricultural,Clay,1247.7,1,8,1
21.20997,86.25709,113.84,31.4,78.4,6769.1,17.65,39.9,Water Body,Loam,3996.0,0,2,1
25.87421,93.02099,76.0,31.8,64.1,8627.2,18.0,124.9,Urban,Alluvial,10237.3,1,0,1
16.76536,80.58746,0.03,44.7,22.4,4067.7,7.89,163.1,Urban,Alluvial,1069.4,0,1,0
27.31136,91.23071,48.85,23.5,65.9,6714.3,14.29,102.0,Urban,Alluvial,817.8,0,5,1
28.32661,72.82649,10.41,36.3,44.9,131.9,0.2,237.3,Water Body,Sandy,10753.7,0,4,0
20.64582,84.99123,19.57,33.0,41.8,1742.9,4.3,56.4,Water Body,Silt,4253.4,1,4,0
20.05771,86.60212,31.53,26.7,50.1,4487.1,9.64,52.7,Urban,Clay,6461.1,0,8,1
9.66823,75.8111,257.2,34.0,100.0,6272.0,18.0,93.1,Forest,Loam,10794.1,1,1,1
28.4361,77.17094,115.04,35.6,59.6,4401.7,12.82,235.1,Agricultural,Loam,2340.9,1,3,1
21.95105,76.50777,75.19,27.3,69.3,4051.5,13.1,130.1,Agricultural,Sandy,9999.1,1,4,1
23.06569,76.97298,118.7,32.8,74.1,3685.4,10.45,246.8,Agricultural,Sandy,10335.8,1,4,1
10.46341,76.14318,84.79,32.6,67.0,3632.6,9.83,101.7,Forest,Silt,1531.2,1,2,1
22.42893,78.33518,42.17,32.1,59.8,2780.5,6.55,64.0,Agricultural,Clay,1927.9,1,1,0
20.86255,85.25972,66.14,28.1,57.5,5338.1,12.96,72.1,Urban,Alluvial,2568.2,0,2,1
17.0118,81.17749,85.76,25.9,68.2,4372.4,12.35,73.4,Agricultural,Loam,4256.5,0,2,1
21.46948,86.38367,11.73,32.0,52.0,3914.9,8.09,66.3,Water Body,Alluvial,5621.4,1,0,0
18.4516,80.99984,56.73,29.4,42.5,4187.9,9.71,50.4,Agricultural,Loam,7716.1,1,3,1
9.37705,75.88314,42.34,29.9,45.1,3416.3,9.24,190.8,Agricultural,Alluvial,11594.2,0,3,1
27.04573,93.12627,31.58,28.4,39.0,4463.1,10.38,97.8,Wetland,Alluvial,9358.7,1,2,1
25.53541,93.12268,65.81,28.5,69.0,7027.9,16.59,67.8,Forest,Sandy,1582.0,0,2,1
29.35707,76.8843,138.29,29.2,100.0,5387.5,14.17,230.4,Forest,Loam,2766.7,1,5,1
19.82337,85.0961,30.0,36.7,46.9,5452.0,12.7,30.0,Urban,Sandy,10126.5,1,5,1
15.56149,76.46532,26.78,25.6,49.8,575.5,1.88,710.0,Agricultural,Clay,3518.7,0,6,0
25.12253,73.64949,24.83,33.7,53.9,309.5,1.4,232.3,Urban,Loam,5264.9,1,4,0
25.70385,72.86093,7.61,33.4,30.6,160.3,0.45,231.5,Wetland,Alluvial,6390.5,1,7,0
26.91606,87.01301,9.95,24.5,30.1,4272.7,7.55,91.7,Agricultural,Clay,4504.0,1,4,0
9.69694,76.69026,120.03,22.7,72.6,3829.8,10.79,159.4,Water Body,Alluvial,10014.9,0,2,1
17.75696,81.76235,89.68,38.3,57.8,5239.5,12.73,157.4,Urban,Loam,3063.3,0,1,1
19.07375,76.2361,7.04,19.7,49.1,585.4,0.94,726.3,Water Body,Alluvial,7761.8,1,0,0
9.33278,76.23014,29.75,29.5,55.8,1471.5,5.06,54.5,Agricultural,Clay,8478.6,1,1,0
25.58613,84.87348,1.9,29.6,44.3,4592.0,9.24,81.8,Agricultural,Sandy,6342.5,0,4,0
28.46561,77.30781,1.28,40.8,27.1,3033.5,6.91,211.0,Agricultural,Alluvial,8791.9,1,5,0
28.0596,71.31375,4.03,33.7,78.9,142.5,1.39,175.5,Agricultural,Alluvial,5153.0,1,0,0
24.96074,87.5188,66.33,26.3,65.8,7460.6,16.74,65.0,Agricultural,Sandy,6885.1,0,1,1
22.7397,76.54204,28.15,27.0,48.3,2568.3,5.91,240.8,Agricultural,Silt,10171.0,0,3,0
26.65474,84.88735,123.64,35.3,88.2,9211.9,18.0,36.0,Agricultural,Alluvial,8185.4,1,4,1
10.72371,76.18166,20.73,31.9,29.7,2991.7,6.39,84.2,Water Body,Clay,9195.9,0,2,0
22.15656,76.44252,54.94,33.2,69.6,3723.7,10.42,100.1,Urban,Clay,5629.0,1,2,1
22.40653,76.68381,15.3,34.8,46.7,1281.2,2.84,252.0,Forest,Silt,1132.4,1,5,0
11.4616,76.66538,165.32,27.2,91.8,4233.6,13.77,157.0,Agricultural,Silt,9962.2,1,5,1
22.22927,74.50533,79.96,37.5,59.3,3344.6,9.05,188.8,Water Body,Loam,11620.3,1,6,1
29.49692,77.0415,37.08,34.5,45.8,2019.1,5.79,192.0,Forest,Alluvial,566.8,1,3,0
19.86619,86.50909,78.73,33.4,71.5,7026.5,18.0,58.4,Wetland,Loam,5530.6,1,2,1
20.76812,86.58419,44.12,35.8,71.7,2598.1,5.58,41.5,Agricultural,Silt,5749.5,1,2,0
25.66984,87.40913,220.23,26.7,100.0,12337.6,18.0,39.9,Urban,Clay,9074.4,1,2,1
18.23724,76.02896,36.33,31.4,68.7,630.0,2.87,683.7,Water Body,Sandy,6616.8,1,2,0
26.17426,82.7161,74.39,21.2,79.4,5859.8,14.08,112.9,Forest,Silt,10641.8,1,1,1
15.54226,76.79105,32.45,30.1,61.2,526.4,2.5,550.3,Water Body,Alluvial,4289.2,0,8,0
27.03941,94.88379,88.3,27.2,87.3,8365.5,18.0,73.7,Urban,Sandy,1267.9,0,2,1
17.94637,82.11296,21.21,26.2,60.0,2491.8,5.08,90.4,Urban,Alluvial,4521.7,1,0,0
16.59127,81.92524,5.17,32.8,59.8,2685.0,4.57,144.3,Forest,Alluvial,4015.6,0,1,0
9.38923,76.30554,207.37,28.5,100.0,6666.0,18.0,68.2,Agricultural,Loam,9413.8,1,1,1
11.13225,76.8884,55.72,28.8,42.6,2933.8,9.09,179.0,Agricultural,Silt,4592.3,1,2,1
10.80662,76.25776,280.33,36.8,100.0,7747.6,18.0,107.6,Agricultural,Sandy,11214.9,1,1,1
22.953,74.32651,40.49,32.8,51.8,3150.6,9.15,280.7,Agricultural,Clay,9513.5,0,7,1
27.17777,93.06737,491.4,40.2,100.0,28293.7,18.0,77.1,Forest,Loam,1020.8,0,1,1
20.57915,85.34293,63.25,24.8,54.1,5457.8,12.87,21.6,Agricultural,Clay,9222.7,0,2,1
26.03101,86.13267,40.06,28.0,76.3,6396.7,14.73,114.2,Urban,Loam,3030.2,1,2,1
16.31556,79.59426,37.48,27.7,56.6,3544.9,8.0,108.2,Urban,Alluvial,8805.3,0,3,1
19.38855,76.67819,4.46,29.4,33.8,302.2,1.24,663.8,Agricultural,Silt,10086.8,1,2,0
