elevation_m,slope_deg,curvature,annual_rainfall_mm,monsoon_rainfall_mm,max_daily_rainfall_mm,rainfall_flash_ratio,dist_to_river_km,river_density_km_sqkm,dist_to_road_km,topographic_wetness_index,ndvi,lulc_Agricultural,lulc_Barren,lulc_Barren_Rocky,lulc_Barren_Sandy,lulc_Dense_Forest,lulc_Grassland,lulc_Open_Forest,lulc_Plantation,lulc_Scrubland,lulc_Settlement,lulc_Water_Body,lulc_Wetland,flood_label,state,district
12.5,0.83,0.409,353.4,267.7,45.1,0.16784518049869745,3.43,0.11,1.99,2.673838841228804,0.106,False,False,False,False,False,False,False,False,True,False,False,False,0,Gujarat,Kutch
309.9,0.72,0.585,420.6,315.4,40.1,0.1267383059418458,8.15,0.0,5.08,2.074093299189052,0.274,False,False,False,False,False,False,False,False,True,False,False,False,0,Tamil Nadu,Nilgiris
778.8,27.02,-1.966,3030.1,2329.1,435.8,0.18703059954508391,2.0,1.7,1.35,1.2611994229962629,0.259,True,False,False,False,False,False,False,False,False,False,False,False,0,Assam,Morigaon
1344.9,34.14,1.542,3162.3,2685.5,484.3,0.1802717290154476,0.07,2.67,2.59,1.4073527572565374,0.161,False,False,False,False,False,False,False,False,True,False,False,False,0,Sikkim,North Sikkim
727.7,9.93,1.033,2684.8,2051.5,199.8,0.09734470158343485,0.11,1.58,0.38,2.2613772537870167,0.228,False,False,False,False,False,False,False,False,True,False,False,False,0,Assam,Morigaon
80.1,0.21,0.321,688.8,603.6,98.6,0.16308303010254713,0.14,2.82,5.59,6.680453851695562,0.316,False,False,False,False,False,False,False,False,False,True,False,False,0,Uttar Pradesh,Ballia
267.3,23.07,-0.867,2338.4,2024.0,361.1,0.178320987654321,5.28,2.59,5.45,1.8430509818565175,0.53,False,False,False,False,False,False,False,False,False,True,False,False,0,Kerala,Wayanad
5.0,2.86,0.193,1329.1,1134.5,103.0,0.09070893879348305,0.93,1.79,0.74,3.6331511365242934,0.176,True,False,False,False,False,False,False,False,False,False,False,False,1,Uttar Pradesh,Ballia
1392.3,38.97,-1.938,2872.7,2065.2,268.3,0.1298519020423967,2.25,0.7,5.9,-0.011085146830680903,0.361,True,False,False,False,False,False,False,False,False,False,False,False,0,Assam,Morigaon
1102.5,8.58,-0.317,3370.8,2961.4,356.0,0.12017283283823926,2.63,1.63,3.84,2.439400153407437,0.784,True,False,False,False,False,False,False,False,False,False,False,False,0,Kerala,Wayanad
2107.1,12.66,0.263,1090.1,864.1,108.1,0.12495665241012599,1.34,1.02,2.96,1.606646007388043,0.511,False,False,False,False,True,False,False,False,False,False,False,False,0,Himachal Pradesh,Kullu
1007.3,1.97,0.401,2181.9,1676.7,135.0,0.08046730643142397,2.1,1.18,1.23,3.6166593282380526,0.545,False,False,False,False,False,False,False,False,True,False,False,False,0,Assam,Dhemaji
157.2,2.41,-0.361,1354.4,1034.1,208.9,0.2018162496377162,2.67,0.67,33.24,2.9066454603409215,0.243,False,False,False,False,False,False,False,False,False,False,True,False,0,Uttar Pradesh,Gorakhpur
5.0,5.92,-0.024,807.3,623.9,128.5,0.20563290126420228,0.4,1.14,1.88,2.4814344233006964,0.8,False,False,False,False,False,False,False,False,False,True,False,False,1,Uttar Pradesh,Ballia
548.3,1.51,-0.263,859.4,648.2,61.8,0.09519408502772642,9.5,0.52,5.96,3.157849956349836,0.726,False,False,False,False,False,False,False,True,False,False,False,False,0,Odisha,Mayurbhanj
1171.3,16.11,-1.734,2801.4,2458.1,356.4,0.14493107234354033,0.75,1.99,3.34,1.9791009677920857,0.316,True,False,False,False,False,False,False,False,False,False,False,False,0,Assam,Dhemaji
658.1,11.63,-2.878,1686.0,1193.6,193.9,0.16231374518667338,6.31,1.86,0.37,2.2537160198024764,0.875,True,False,False,False,False,False,False,False,False,False,False,False,0,Maharashtra,Raigad
1052.8,28.34,-3.41,2872.7,2143.8,396.9,0.1850522193211488,1.14,0.68,4.36,0.3689377412723485,0.792,False,False,False,False,False,False,False,True,False,False,False,False,0,Karnataka,Kodagu
2791.3,26.52,0.604,1670.6,1379.5,283.5,0.20536037667511772,10.92,0.34,2.12,-0.12586648212992566,0.527,False,False,False,False,True,False,False,False,False,False,False,False,0,Himachal Pradesh,Kullu
498.3,8.49,-1.188,1964.6,1496.0,320.6,0.2141616566466266,0.49,2.65,5.83,2.9135821950297935,0.66,False,False,False,False,True,False,False,False,False,False,False,False,0,Kerala,Idukki
1202.8,6.91,1.063,2789.5,2317.4,416.1,0.17947722567287785,0.71,1.67,0.8,2.6813720510285153,0.101,False,False,False,True,False,False,False,False,False,False,False,False,1,Meghalaya,East Khasi Hills
1562.7,26.28,-0.019,1727.7,1502.1,307.7,0.20471026545140045,3.12,0.65,1.59,0.4179496603518228,0.452,False,False,True,False,False,False,False,False,False,False,False,False,0,Himachal Pradesh,Mandi
172.1,15.0,-0.268,384.4,299.4,57.4,0.1910785619174434,0.79,0.36,0.17,0.5404291074258203,0.107,False,False,False,True,False,False,False,False,False,False,False,False,0,Gujarat,Kutch
187.8,0.6,0.256,299.2,228.2,34.6,0.15095986038394416,7.09,0.6,1.13,4.202341089842324,0.15,False,False,False,True,False,False,False,False,False,False,False,False,0,Rajasthan,Barmer
291.8,0.84,0.269,748.5,569.8,92.2,0.16152768044849336,3.19,0.58,0.39,3.8368462217630457,0.487,True,False,False,False,False,False,False,False,False,False,False,False,0,Telangana,Khammam
207.7,0.12,-0.167,1077.1,825.9,86.0,0.10400290240657879,1.26,1.59,1.12,6.6932175680107715,0.54,True,False,False,False,False,False,False,False,False,False,False,False,0,West Bengal,Murshidabad
2334.5,33.99,-0.542,884.7,741.6,86.8,0.11688661459736062,2.17,0.0,3.07,-1.90843761027252,0.532,False,False,False,False,False,False,True,False,False,False,False,False,0,Uttarakhand,Chamoli
481.0,1.21,0.874,1669.4,1328.4,219.4,0.16503685873326313,4.0,0.63,9.72,3.542747181665174,0.722,True,False,False,False,False,False,False,False,False,False,False,False,1,Odisha,Mayurbhanj
79.4,0.25,0.343,984.0,796.5,138.8,0.17404388714733543,1.17,0.71,0.94,5.22379394862061,0.665,True,False,False,False,False,False,False,False,False,False,False,False,0,Bihar,Katihar
2527.8,23.61,-0.425,1767.1,1475.6,231.3,0.15664364079642423,7.03,0.42,1.73,0.1736733990533864,0.304,False,False,False,False,False,False,False,False,False,True,False,False,0,Himachal Pradesh,Kullu
54.7,5.5,0.457,1591.6,1294.2,272.9,0.21070105003088324,0.65,0.85,0.86,2.2891073981400427,0.532,False,False,False,False,False,False,False,False,False,False,True,False,1,Uttar Pradesh,Gorakhpur
1760.4,31.44,2.148,1375.6,1110.3,196.1,0.17646000179969407,3.99,0.0,2.23,-1.810517867161742,0.621,False,False,False,False,True,False,False,False,False,False,False,False,0,Jammu & Kashmir,Doda
276.9,0.78,-0.512,299.6,222.3,43.6,0.19525302283922974,3.79,0.9,2.47,4.29662654525501,0.29,False,False,False,False,False,False,False,False,True,False,False,False,0,Rajasthan,Jaisalmer
571.6,15.76,-2.648,1934.3,1508.8,123.3,0.08166644588687244,0.37,1.82,0.72,1.9174020854772644,0.339,True,False,False,False,False,False,False,False,False,False,False,False,0,Assam,Morigaon
545.5,1.94,-0.112,1941.1,1376.4,236.0,0.17133730216349644,15.25,0.83,2.1,3.3125860441622517,0.578,False,False,False,False,False,False,False,False,False,True,False,False,0,Odisha,Koraput
107.6,2.46,0.073,1270.3,1116.5,173.3,0.15507829977628637,2.2,1.87,5.06,3.8254844191451363,0.608,True,False,False,False,False,False,False,False,False,False,False,False,0,Bihar,Katihar
924.9,17.31,-1.44,2983.3,2359.4,503.1,0.21314184036603964,1.88,2.71,0.69,2.19903720934926,0.622,False,False,False,False,False,False,False,False,False,False,True,False,0,Kerala,Wayanad
365.5,21.63,0.011,4018.4,3250.0,397.8,0.12236235004613966,1.28,0.96,1.73,0.9832628734237784,0.851,False,False,False,False,True,False,False,False,False,False,False,False,0,Kerala,Wayanad
569.9,34.22,1.616,3673.7,2845.1,376.3,0.13221601489757914,4.59,1.86,6.11,1.0584456390418335,0.02,False,False,False,False,False,False,False,False,False,True,False,False,0,Arunachal Pradesh,Lower Subansiri
187.1,0.6,0.549,298.5,252.6,50.1,0.19755520504731863,2.39,0.15,8.37,3.172721672661166,0.582,False,False,False,False,False,False,False,False,True,False,False,False,0,Gujarat,Kutch
452.9,4.78,-0.186,1580.2,1249.9,213.8,0.17091693980334158,5.48,0.56,0.05,2.0659471925994213,0.614,False,False,False,False,False,False,False,False,False,False,True,False,0,Odisha,Mayurbhanj
218.5,1.27,0.029,178.6,125.0,22.8,0.18095238095238095,11.15,0.29,2.59,2.8674377334554824,0.136,True,False,False,False,False,False,False,False,False,False,False,False,0,Rajasthan,Barmer
413.6,4.73,-0.037,785.6,656.0,139.4,0.2121765601217656,4.0,0.48,0.69,1.9472992426202373,0.259,True,False,False,False,False,False,False,False,False,False,False,False,0,Andhra Pradesh,East Godavari
1181.6,20.67,-1.759,3713.3,2611.1,300.8,0.11515638758087364,0.42,0.88,1.86,0.954590745942297,0.572,False,False,False,False,False,False,False,False,False,False,True,False,0,Karnataka,Uttara Kannada
198.6,6.92,-0.57,531.5,446.5,71.0,0.15865921787709497,4.12,0.64,4.56,1.8078271409001752,0.462,True,False,False,False,False,False,False,False,False,False,False,False,0,Rajasthan,Barmer
1487.4,35.73,0.831,1648.4,1369.2,286.9,0.20938549116917235,1.99,0.42,2.43,-0.32454305823717,0.483,False,False,False,False,True,False,False,False,False,False,False,False,0,Uttarakhand,Chamoli
1219.3,34.81,1.186,2941.1,2177.6,195.1,0.08955292389608005,1.44,2.12,0.95,1.1609521791790933,0.394,True,False,False,False,False,False,False,False,False,False,False,False,0,Sikkim,North Sikkim
1058.4,17.42,1.925,1163.4,920.1,101.0,0.1096515036369558,0.62,0.8,1.3,1.0537524004836591,0.651,False,False,True,False,False,False,False,False,False,False,False,False,0,Himachal Pradesh,Kullu
98.0,1.38,-0.47,930.7,671.0,136.3,0.20282738095238098,1.48,1.22,7.21,4.0035818051529475,0.8,False,False,False,False,False,False,False,False,False,False,False,True,0,Uttar Pradesh,Ballia
144.3,7.62,0.033,1170.8,989.9,195.0,0.19679079624583712,1.9,0.37,1.76,1.2565077477565076,0.273,True,False,False,False,False,False,False,False,False,False,False,False,0,Uttar Pradesh,Ballia
722.1,18.6,0.626,2901.9,2031.5,379.6,0.18676506765067652,3.02,2.36,8.37,1.9892079915265966,0.616,False,False,False,False,False,False,False,False,False,True,False,False,0,Arunachal Pradesh,Lower Subansiri
442.5,0.54,0.306,736.1,516.1,57.4,0.11100367433765228,5.02,0.69,2.01,4.428661161516661,0.422,False,False,False,False,False,False,False,False,True,False,False,False,0,Telangana,Khammam
50.7,3.85,0.555,1696.0,1492.1,161.4,0.10809724733775368,1.63,2.02,0.92,3.4500632538553933,0.514,True,False,False,False,False,False,False,False,False,False,False,False,0,West Bengal,Murshidabad
666.5,44.68,-0.092,2804.6,2210.2,206.5,0.09338820549927641,1.11,2.58,0.28,0.9969871340275657,0.427,False,False,False,False,False,False,False,False,True,False,False,False,0,Assam,Dhemaji
552.2,27.3,-0.217,2720.3,2009.7,167.7,0.0834037897249714,3.09,1.06,0.6,0.8098001678794997,0.815,True,False,False,False,False,False,False,False,False,False,False,False,0,Kerala,Wayanad
2351.3,20.02,0.949,1332.7,1057.0,208.7,0.19725897920604915,10.46,1.18,3.01,1.2564576179729163,0.489,False,False,False,False,True,False,False,False,False,False,False,False,0,Uttarakhand,Rudraprayag
361.5,2.58,0.03,921.6,725.0,133.2,0.18347107438016527,19.83,0.0,10.91,0.7971762680252903,0.317,True,False,False,False,False,False,False,False,False,False,False,False,0,Tamil Nadu,Nilgiris
2215.9,50.95,-0.531,1630.2,1276.3,143.1,0.11203319502074689,1.79,0.35,5.52,-1.0077113978112713,0.684,False,False,False,False,False,False,True,False,False,False,False,False,0,Uttarakhand,Chamoli
312.0,0.73,0.052,478.7,383.7,76.7,0.19937613724980505,18.0,1.12,2.79,4.561734456368374,0.498,False,False,False,False,False,False,False,False,False,True,False,False,0,Rajasthan,Jaisalmer
352.6,0.53,0.018,1675.7,1379.1,124.9,0.09050068835591625,7.32,0.56,1.15,4.267561270601227,0.695,False,False,False,False,True,False,False,False,False,False,False,False,0,Chhattisgarh,Bastar
771.7,21.98,-0.361,3099.1,2495.7,203.9,0.08166780149797734,1.62,1.69,5.95,1.4894964711349339,0.077,True,False,False,False,False,False,False,False,False,False,False,False,0,Arunachal Pradesh,Lower Subansiri
2323.8,32.08,-1.488,1468.1,1081.1,133.4,0.12327880972183719,11.72,0.52,0.53,-0.010927973734601235,0.733,False,False,False,False,False,False,False,False,False,True,False,False,0,Himachal Pradesh,Mandi
365.0,1.12,-0.699,431.8,351.5,68.1,0.1931914893617021,2.82,0.86,3.88,3.8939489031588987,0.29,False,False,False,False,False,False,False,False,True,False,False,False,0,Tamil Nadu,Nilgiris
544.0,0.96,0.344,1416.0,1238.4,158.2,0.12764240761658865,7.81,0.75,1.49,3.9264364454615968,0.92,False,False,False,False,False,False,False,True,False,False,False,False,0,Chhattisgarh,Bastar
405.2,6.84,-0.07,1342.8,1167.6,126.0,0.10782132466198871,0.33,0.0,1.41,-0.18191229029442943,0.603,True,False,False,False,False,False,False,False,False,False,False,False,0,Odisha,Mayurbhanj
487.3,1.0,-0.922,1165.3,893.0,95.8,0.10715883668903803,1.2,0.24,12.62,2.969315757311195,0.71,False,False,False,False,True,False,False,False,False,False,False,False,0,Odisha,Mayurbhanj
1453.2,26.65,0.366,1671.8,1400.8,257.2,0.18347838493365673,9.25,0.8,2.67,0.5840841833917931,0.398,False,False,False,False,False,False,True,False,False,False,False,False,0,Uttarakhand,Rudraprayag
155.9,0.66,-0.165,1250.5,1057.9,133.6,0.12616866559637357,0.42,2.11,0.99,5.256690692713301,0.564,False,False,False,False,False,False,False,False,False,False,False,True,0,Uttar Pradesh,Gorakhpur
2783.4,9.02,-1.901,1080.9,813.3,175.4,0.21539972982930125,3.08,0.71,4.63,1.6297522251828362,0.371,False,False,False,False,False,False,True,False,False,False,False,False,0,Himachal Pradesh,Mandi
315.4,1.24,0.509,836.6,601.5,60.0,0.0995850622406639,5.7,0.74,2.59,3.658606054632428,0.152,True,False,False,False,False,False,False,False,False,False,False,False,0,Andhra Pradesh,East Godavari
80.0,16.32,0.04,2959.7,2090.5,339.9,0.16251494142959597,5.68,1.77,0.04,1.8542059183082131,0.73,False,False,False,False,True,False,False,False,False,False,False,False,0,Kerala,Wayanad
201.0,7.44,-0.292,886.7,765.0,122.1,0.1593994778067885,3.33,1.4,2.64,2.4411784485163976,0.521,True,False,False,False,False,False,False,False,False,False,False,False,0,Uttar Pradesh,Ballia
2233.2,20.66,-0.392,1481.0,1257.6,231.9,0.1842523438741459,7.97,0.95,3.68,1.0241121887983329,0.413,False,False,False,False,True,False,False,False,False,False,False,False,0,Himachal Pradesh,Mandi
75.1,1.17,0.455,1156.4,889.9,78.8,0.0884498821416545,6.16,1.48,4.18,4.348509052815684,0.472,True,False,False,False,False,False,False,False,False,False,False,False,0,Uttar Pradesh,Ballia
9.6,2.11,-0.147,922.9,784.2,130.3,0.16594498217014775,2.63,2.06,3.52,4.071195033737165,0.619,False,False,False,False,False,False,False,False,False,False,True,False,0,West Bengal,Murshidabad
463.6,1.54,0.192,1682.0,1388.9,183.6,0.1320958342326786,9.12,0.56,0.88,3.200688253828409,0.646,False,False,False,False,True,False,False,False,False,False,False,False,0,Odisha,Koraput
661.3,23.43,0.642,2885.6,2215.9,369.1,0.1664937525373269,0.29,2.42,1.66,1.760444391132932,0.814,False,False,False,False,True,False,False,False,False,False,False,False,0,Kerala,Idukki
416.2,4.8,-0.432,885.9,717.7,130.6,0.18171698900793096,11.46,0.88,0.85,2.45706503929164,0.474,False,False,False,False,False,False,False,False,False,True,False,False,0,Telangana,Khammam
51.6,6.5,-0.362,1069.7,813.3,122.8,0.1508043718531254,0.54,2.18,3.49,2.9962972725951436,0.15,False,False,False,False,False,False,False,False,False,False,True,False,0,Uttar Pradesh,Gorakhpur
2372.8,45.54,-1.997,1231.0,1074.6,193.5,0.1798995909259948,0.93,1.23,1.09,0.2663282699870028,0.243,False,False,False,False,False,False,True,False,False,False,False,False,0,Himachal Pradesh,Kullu
526.3,5.1,0.111,1166.8,931.8,82.6,0.08855060034305318,0.75,0.78,0.02,2.288507127328352,0.796,False,False,False,False,False,False,False,True,False,False,False,False,0,Madhya Pradesh,Balaghat
319.7,0.1,0.117,1165.5,997.5,211.7,0.21201802704056083,3.47,1.44,2.36,6.782593459068273,0.589,True,False,False,False,False,False,False,False,False,False,False,False,0,Odisha,Koraput
1020.8,11.13,2.878,1570.4,1238.7,210.4,0.16971848027748648,1.32,1.01,2.16,1.7302525218129112,0.71,True,False,False,False,False,False,False,False,False,False,False,False,0,Karnataka,Uttara Kannada
355.9,0.68,0.252,1559.9,1192.8,175.6,0.14709331546322668,26.98,0.92,4.92,4.4536451199074865,0.721,False,False,False,False,True,False,False,False,False,False,False,False,0,Odisha,Mayurbhanj
5.0,0.48,-0.078,794.9,572.3,63.4,0.11058782487353916,1.31,1.84,4.07,5.444860718195285,0.8,True,False,False,False,False,False,False,False,False,False,False,False,0,Uttar Pradesh,Ballia
774.0,30.19,1.017,2944.4,2155.8,261.7,0.12133716617210681,0.05,1.94,0.56,1.2546122572609637,0.696,False,False,False,False,False,False,False,False,False,False,True,False,0,Karnataka,Kodagu
140.8,0.48,0.124,544.3,422.5,91.9,0.21700118063754428,0.37,1.25,1.34,5.082277337570386,0.6,True,False,False,False,False,False,False,False,False,False,False,False,0,Bihar,Supaul
2224.6,26.94,0.396,1292.4,1110.7,170.0,0.15291895295493388,1.17,0.35,3.12,-0.12164143031891111,0.764,False,False,True,False,False,False,False,False,False,False,False,False,0,Himachal Pradesh,Kullu
1716.2,46.53,-0.833,1866.2,1602.1,318.8,0.19886469964443892,13.38,0.75,3.05,-0.21595141170104443,0.216,False,False,False,False,True,False,False,False,False,False,False,False,0,Himachal Pradesh,Mandi
3822.9,27.51,1.362,1803.6,1322.6,208.6,0.1576004835297673,10.25,1.49,1.75,1.1161445172919555,0.712,False,False,False,False,False,False,False,False,False,True,False,False,0,Himachal Pradesh,Kullu
721.7,19.95,-1.326,2367.9,1814.6,316.9,0.17454285084820445,1.66,1.26,0.05,1.3208859679016034,0.739,False,False,False,False,False,False,False,True,False,False,False,False,0,Maharashtra,Raigad
191.7,4.55,0.011,1144.6,823.7,118.8,0.14405238268461257,1.01,2.85,0.39,3.6127996896713013,0.674,True,False,False,False,False,False,False,False,False,False,False,False,0,Bihar,Supaul
398.4,26.86,-1.039,3576.3,2927.1,285.0,0.09733274136812267,1.09,1.8,0.27,1.3221807047658685,0.622,False,False,False,False,True,False,False,False,False,False,False,False,0,Kerala,Wayanad
295.4,0.86,0.163,489.5,426.5,76.5,0.17894736842105263,4.71,0.54,3.27,3.7526876498509996,0.298,True,False,False,False,False,False,False,False,False,False,False,False,0,Rajasthan,Jaisalmer
80.0,22.44,-0.598,1925.7,1544.9,304.2,0.19677857558703665,0.47,1.62,8.79,1.4266629080298199,0.02,False,False,False,False,False,False,False,False,False,True,False,False,0,Sikkim,North Sikkim
48.2,4.99,-0.117,1354.2,1091.7,220.4,0.2017022055458955,7.12,0.9,2.25,2.4382582362398932,0.309,False,False,False,False,False,False,False,False,False,False,True,False,0,West Bengal,Murshidabad
405.4,2.75,-0.072,1481.5,1270.3,241.2,0.18972705105010618,0.95,1.13,1.89,3.24287191997513,0.796,False,False,False,False,False,False,False,True,False,False,False,False,0,Odisha,Koraput
1063.0,10.91,-0.278,2854.9,2088.9,213.5,0.10215799799033447,1.17,1.86,1.8,2.3193023231825918,0.297,False,False,False,True,False,False,False,False,False,False,False,False,0,Assam,Morigaon
911.5,17.38,1.673,1246.5,940.1,138.9,0.1475932419509085,4.15,1.17,0.04,1.4005763398132505,0.691,False,False,False,False,False,True,False,False,False,False,False,False,0,Himachal Pradesh,Mandi
1244.1,15.02,1.237,3119.0,2190.7,284.0,0.12957977825432315,2.99,1.87,1.96,1.9935960196605207,0.195,False,False,False,False,False,False,False,False,True,False,False,False,0,Sikkim,North Sikkim
766.1,29.58,0.242,2891.4,2088.1,310.7,0.14872433105164903,2.34,1.15,0.62,0.7894511555605371,0.424,False,False,False,False,False,False,False,False,False,True,False,False,0,Meghalaya,East Khasi Hills
245.8,5.1,-0.287,583.2,420.3,75.7,0.17968193686209352,3.55,0.39,3.71,1.7029906109607722,0.201,True,False,False,False,False,False,False,False,False,False,False,False,0,Rajasthan,Barmer
410.6,2.95,-0.216,576.7,452.3,87.4,0.1928082947275535,20.49,0.69,0.61,2.72981526981588,0.155,False,False,False,False,False,False,False,False,False,True,False,False,0,Andhra Pradesh,East Godavari
747.4,15.09,-0.164,3477.5,2796.4,316.7,0.11321226853506827,0.67,0.19,1.2,0.07281737824614172,0.71,False,False,False,False,False,False,False,True,False,False,False,False,0,Kerala,Idukki
511.1,2.95,-0.274,916.2,785.1,119.6,0.15214349319425008,3.83,0.54,8.17,2.5192505007085306,0.223,False,False,False,False,False,False,False,False,False,True,False,False,0,Tamil Nadu,Nilgiris
475.6,1.67,-0.438,692.9,525.4,64.9,0.12329027355623103,8.35,0.59,0.5,3.1640564185659215,0.219,False,False,False,False,False,False,False,False,True,False,False,False,0,Andhra Pradesh,East Godavari
1363.2,35.86,2.851,3569.8,2773.9,324.3,0.11686907636311218,3.15,1.35,1.61,0.6961643340405159,0.324,True,False,False,False,False,False,False,False,False,False,False,False,0,Assam,Morigaon
437.6,0.24,0.183,679.1,520.2,74.5,0.14293937068303914,11.14,0.24,0.7,4.396527810630621,0.333,False,False,False,False,False,False,False,False,True,False,False,False,0,Andhra Pradesh,East Godavari
1437.1,23.98,1.406,3571.2,3027.9,516.0,0.17035887615966191,2.77,0.34,7.31,-0.010873598493403932,0.569,False,False,False,False,False,False,False,False,False,True,False,False,0,Maharashtra,Raigad
375.2,0.3,0.252,955.3,812.3,130.8,0.16082626337144967,9.0,1.2,1.08,5.514554895253185,0.51,True,False,False,False,False,False,False,False,False,False,False,False,0,Andhra Pradesh,East Godavari
269.4,5.58,0.134,769.3,652.5,116.9,0.1788829380260138,17.59,0.27,1.94,1.3316173364752033,0.02,True,False,False,False,False,False,False,False,False,False,False,False,0,Telangana,Khammam
220.9,6.93,-0.252,1195.7,1040.6,153.8,0.14765745007680495,1.03,1.79,9.54,2.7440508595478934,0.462,False,False,False,False,False,False,False,False,False,False,False,True,0,Bihar,Supaul
1527.4,21.65,0.068,1026.6,726.4,96.7,0.13293923563376409,7.8,0.47,1.89,0.3618567155660478,0.554,False,False,False,False,True,False,False,False,False,False,False,False,0,Uttarakhand,Chamoli
404.4,26.8,2.082,3746.1,2956.1,415.3,0.14044164891278618,1.16,0.42,4.83,0.0290004225255973,0.326,True,False,False,False,False,False,False,False,False,False,False,False,0,Sikkim,North Sikkim
71.9,0.1,-0.11,1257.8,924.8,193.9,0.20944048390581121,1.21,2.21,4.89,7.188058567176437,0.709,False,False,False,False,False,False,False,False,False,False,False,True,1,Uttar Pradesh,Gorakhpur
441.1,3.95,0.222,820.4,720.2,118.0,0.16361619523017193,5.77,0.7,2.02,2.449781811105813,0.266,True,False,False,False,False,False,False,False,False,False,False,False,0,Andhra Pradesh,East Godavari
314.3,13.88,-0.042,793.0,636.8,115.3,0.18077767325180308,2.66,0.7,0.71,1.1748001258844865,0.192,False,False,False,False,False,False,False,False,True,False,False,False,0,Tamil Nadu,Nilgiris
1408.7,22.51,-0.726,1068.6,791.2,151.4,0.19111335521332995,0.55,0.96,0.05,0.9391489276124751,0.701,False,False,False,False,False,False,False,False,False,True,False,False,0,Jammu & Kashmir,Doda
528.8,15.47,1.901,2702.0,1939.5,194.5,0.10023189899510436,0.8,1.34,1.84,1.6492449502245032,0.692,False,False,False,False,False,False,False,False,False,True,False,False,0,Maharashtra,Raigad
33.3,0.19,0.275,805.4,671.1,143.0,0.2127659574468085,0.32,1.38,0.81,6.100996594066128,0.472,False,False,False,False,False,False,False,False,False,False,True,False,0,West Bengal,Murshidabad
577.6,25.24,-0.96,2692.0,2087.7,358.3,0.17154210753100016,1.54,1.7,1.19,1.3397982949607044,0.414,False,False,False,False,False,False,False,False,True,False,False,False,0,Assam,Morigaon
1981.0,18.6,-1.307,1304.0,932.8,115.6,0.12379524523452559,8.58,0.92,4.77,1.1088492688785048,0.508,False,False,True,False,False,False,False,False,False,False,False,False,0,Jammu & Kashmir,Doda
75.8,1.72,-0.069,971.0,760.1,133.9,0.17592957561424255,0.23,1.89,1.43,4.1937368563789414,0.467,True,False,False,False,False,False,False,False,False,False,False,False,1,Uttar Pradesh,Gorakhpur
272.3,8.77,0.559,574.8,469.5,41.4,0.08799149840595111,1.97,0.62,1.66,1.5405334450151769,0.301,True,False,False,False,False,False,False,False,False,False,False,False,0,Rajasthan,Barmer
217.6,1.11,-0.783,1396.9,1142.3,117.5,0.10277267558820957,0.81,2.3,1.63,4.819210569738881,0.526,False,False,False,False,False,False,False,False,False,False,True,False,1,Bihar,Supaul
