site_id,latitude,longitude,state,district,eco_region,elevation_m,slope_deg,aspect_deg,curvature,annual_rainfall_mm,monsoon_rainfall_mm,max_daily_rainfall_mm,mean_temperature_c,dist_to_river_km,river_density_km_sqkm,dist_to_road_km,road_density_km_sqkm,ndvi,lulc,pop_density_per_sqkm,housing_quality_score,infrastructure_access,flood_label,landslide_label,wildfire_label,spatial_block_id
IND_S000047,27.22862,85.04563,Bihar,Katihar,Indo_Gangetic_Plain,107.6,2.46,16.5,0.073,1270.3,1116.5,173.3,30.8,2.2,1.87,5.06,1.69,0.608,Agricultural,1296.7,0.6,0.14,0,0,0,27_85
IND_S000048,11.37394,76.88714,Kerala,Wayanad,Western_Ghats,924.9,17.31,14.2,-1.44,2983.3,2359.4,503.1,29.2,1.88,2.71,0.69,0.05,0.622,Water_Body,97.1,0.34,0.57,0,0,0,11_76
IND_S000049,11.33719,76.39327,Kerala,Wayanad,Western_Ghats,365.5,21.63,162.8,0.011,4018.4,3250.0,397.8,30.5,1.28,0.96,1.73,2.05,0.851,Dense_Forest,144.8,0.31,0.15,0,1,0,11_76
IND_S000050,27.57795,90.06843,Arunachal Pradesh,Lower Subansiri,Eastern_Himalayas_NE,569.9,34.22,247.9,1.616,3673.7,2845.1,376.3,27.1,4.59,1.86,6.11,1.78,0.02,Settlement,887.5,0.67,0.44,0,0,0,27_90
IND_S000051,26.38939,74.44584,Gujarat,Kutch,Arid_West,187.1,0.6,232.8,0.549,298.5,252.6,50.1,29.5,2.39,0.15,8.37,0.68,0.582,Scrubland,348.9,0.29,0.27,0,0,0,26_74
IND_S000052,19.74674,82.21146,Odisha,Mayurbhanj,Central_Plateau,452.9,4.78,310.1,-0.186,1580.2,1249.9,213.8,28.9,5.48,0.56,0.05,0.77,0.614,Water_Body,163.7,0.49,0.32,0,0,0,19_82
IND_S000053,24.61914,72.34795,Rajasthan,Barmer,Arid_West,218.5,1.27,126.0,0.029,178.6,125.0,22.8,32.8,11.15,0.29,2.59,2.07,0.136,Agricultural,493.0,0.1,0.58,0,0,0,24_72
IND_S000054,15.08471,78.57197,Andhra Pradesh,East Godavari,Deccan_Plateau,413.6,4.73,297.0,-0.037,785.6,656.0,139.4,32.1,4.0,0.48,0.69,1.58,0.259,Agricultural,168.6,0.11,0.48,0,0,0,15_78
IND_S000055,9.53796,75.09892,Karnataka,Uttara Kannada,Western_Ghats,1181.6,20.67,14.7,-1.759,3713.3,2611.1,300.8,27.8,0.42,0.88,1.86,0.05,0.572,Water_Body,16.3,0.58,0.39,0,0,0,9_75
IND_S000056,27.8363,74.37561,Rajasthan,Barmer,Arid_West,198.6,6.92,116.0,-0.57,531.5,446.5,71.0,33.3,4.12,0.64,4.56,1.47,0.462,Agricultural,98.4,0.46,0.36,0,0,0,27_74
IND_S000057,31.71967,77.4848,Uttarakhand,Chamoli,Western_Himalayas,1487.4,35.73,212.7,0.831,1648.4,1369.2,286.9,24.0,1.99,0.42,2.43,1.06,0.483,Dense_Forest,24.8,0.32,0.18,0,0,0,31_77
IND_S000058,27.13455,92.76404,Sikkim,North Sikkim,Eastern_Himalayas_NE,1219.3,34.81,242.6,1.186,2941.1,2177.6,195.1,23.1,1.44,2.12,0.95,0.66,0.394,Agricultural,166.2,0.51,0.19,0,1,0,27_92
IND_S000059,32.2133,76.36212,Himachal Pradesh,Kullu,Western_Himalayas,1058.4,17.42,136.7,1.925,1163.4,920.1,101.0,27.3,0.62,0.8,1.3,1.29,0.651,Barren_Rocky,391.3,0.19,0.35,0,0,0,32_76
IND_S000060,25.8821,78.65993,Uttar Pradesh,Ballia,Indo_Gangetic_Plain,98.0,1.38,213.2,-0.47,930.7,671.0,136.3,36.6,1.48,1.22,7.21,0.4,0.8,Wetland,445.2,0.16,0.19,0,0,0,25_78
IND_S000061,26.16337,84.6353,Uttar Pradesh,Ballia,Indo_Gangetic_Plain,144.3,7.62,318.3,0.033,1170.8,989.9,195.0,29.3,1.9,0.37,1.76,0.76,0.273,Agricultural,1478.3,0.28,0.36,0,0,0,26_84
IND_S000062,26.83313,90.24156,Arunachal Pradesh,Lower Subansiri,Eastern_Himalayas_NE,722.1,18.6,192.2,0.626,2901.9,2031.5,379.6,30.9,3.02,2.36,8.37,1.22,0.616,Settlement,994.0,0.46,0.49,0,0,0,26_90
IND_S000063,17.87237,80.28933,Telangana,Khammam,Deccan_Plateau,442.5,0.54,188.7,0.306,736.1,516.1,57.4,27.5,5.02,0.69,2.01,1.45,0.422,Scrubland,1061.4,0.59,0.43,0,0,0,17_80
IND_S000064,27.46237,85.40272,West Bengal,Murshidabad,Indo_Gangetic_Plain,50.7,3.85,246.2,0.555,1696.0,1492.1,161.4,34.5,1.63,2.02,0.92,0.05,0.514,Agricultural,70.3,0.26,0.12,0,0,0,27_85
IND_S000065,26.48091,95.37155,Assam,Dhemaji,Eastern_Himalayas_NE,666.5,44.68,97.8,-0.092,2804.6,2210.2,206.5,25.7,1.11,2.58,0.28,1.24,0.427,Scrubland,119.9,0.52,0.35,0,0,0,26_95
IND_S000066,11.54753,73.99203,Kerala,Wayanad,Western_Ghats,552.2,27.3,184.1,-0.217,2720.3,2009.7,167.7,29.0,3.09,1.06,0.6,1.66,0.815,Agricultural,150.0,0.39,0.26,0,0,0,11_73
IND_S000067,31.6163,77.59076,Uttarakhand,Rudraprayag,Western_Himalayas,2351.3,20.02,198.6,0.949,1332.7,1057.0,208.7,17.2,10.46,1.18,3.01,0.33,0.489,Dense_Forest,76.1,0.18,0.13,0,0,0,31_77
IND_S000068,12.4436,79.13929,Tamil Nadu,Nilgiris,Deccan_Plateau,361.5,2.58,266.2,0.03,921.6,725.0,133.2,29.8,19.83,0.0,10.91,1.1,0.317,Agricultural,123.7,0.32,0.26,0,0,0,12_79
IND_S000069,33.17779,78.57212,Uttarakhand,Chamoli,Western_Himalayas,2215.9,50.95,250.8,-0.531,1630.2,1276.3,143.1,21.2,1.79,0.35,5.52,0.77,0.684,Open_Forest,478.2,0.34,0.18,0,0,1,33_78
IND_S000070,26.99344,71.86811,Rajasthan,Jaisalmer,Arid_West,312.0,0.73,189.9,0.052,478.7,383.7,76.7,28.3,18.0,1.12,2.79,1.81,0.498,Settlement,1509.3,0.46,0.59,0,0,0,26_71
IND_S000071,21.47157,83.53066,Chhattisgarh,Bastar,Central_Plateau,352.6,0.53,197.5,0.018,1675.7,1379.1,124.9,27.8,7.32,0.56,1.15,0.91,0.695,Dense_Forest,247.3,0.39,0.13,0,0,0,21_83
IND_S000072,27.91479,91.72447,Arunachal Pradesh,Lower Subansiri,Eastern_Himalayas_NE,771.7,21.98,247.2,-0.361,3099.1,2495.7,203.9,26.6,1.62,1.69,5.95,1.29,0.077,Agricultural,45.0,0.36,0.14,0,0,0,27_91
IND_S000073,32.24999,77.45704,Himachal Pradesh,Mandi,Western_Himalayas,2323.8,32.08,77.1,-1.488,1468.1,1081.1,133.4,17.5,11.72,0.52,0.53,1.26,0.733,Settlement,960.4,0.53,0.75,0,1,0,32_77
IND_S000074,11.82591,80.18908,Tamil Nadu,Nilgiris,Deccan_Plateau,365.0,1.12,96.7,-0.699,431.8,351.5,68.1,27.2,2.82,0.86,3.88,0.42,0.29,Scrubland,33.5,0.32,0.21,0,0,0,11_80
IND_S000075,22.7189,83.546,Chhattisgarh,Bastar,Central_Plateau,544.0,0.96,102.1,0.344,1416.0,1238.4,158.2,30.1,7.81,0.75,1.49,2.1,0.92,Plantation,338.0,0.52,0.19,0,0,0,22_83
IND_S000076,23.89077,81.5789,Odisha,Mayurbhanj,Central_Plateau,405.2,6.84,13.7,-0.07,1342.8,1167.6,126.0,30.7,0.33,0.0,1.41,0.71,0.603,Agricultural,454.4,0.31,0.56,0,0,0,23_81
IND_S000077,22.97725,83.73056,Odisha,Mayurbhanj,Central_Plateau,487.3,1.0,267.5,-0.922,1165.3,893.0,95.8,34.6,1.2,0.24,12.62,1.64,0.71,Dense_Forest,510.2,0.41,0.51,0,0,0,22_83
IND_S000078,33.42302,78.88791,Uttarakhand,Rudraprayag,Western_Himalayas,1453.2,26.65,320.3,0.366,1671.8,1400.8,257.2,26.5,9.25,0.8,2.67,1.75,0.398,Open_Forest,122.2,0.5,0.45,0,1,0,33_78
IND_S000079,25.23272,87.48762,Uttar Pradesh,Gorakhpur,Indo_Gangetic_Plain,155.9,0.66,57.8,-0.165,1250.5,1057.9,133.6,28.0,0.42,2.11,0.99,0.32,0.564,Wetland,143.5,0.21,0.38,0,0,0,25_87
IND_S000080,29.52948,74.67516,Himachal Pradesh,Mandi,Western_Himalayas,2783.4,9.02,257.5,-1.901,1080.9,813.3,175.4,17.3,3.08,0.71,4.63,0.82,0.371,Open_Forest,7.7,0.49,0.26,0,0,0,29_74
IND_S000081,13.27412,79.32342,Andhra Pradesh,East Godavari,Deccan_Plateau,315.4,1.24,305.3,0.509,836.6,601.5,60.0,30.4,5.7,0.74,2.59,1.69,0.152,Agricultural,298.1,0.39,0.56,0,0,0,13_79
IND_S000082,9.27628,74.21328,Kerala,Wayanad,Western_Ghats,80.0,16.32,8.1,0.04,2959.7,2090.5,339.9,30.6,5.68,1.77,0.04,1.55,0.73,Dense_Forest,102.6,0.1,0.13,0,0,0,9_74
IND_S000083,26.6801,81.70382,Uttar Pradesh,Ballia,Indo_Gangetic_Plain,201.0,7.44,164.8,-0.292,886.7,765.0,122.1,31.6,3.33,1.4,2.64,1.76,0.521,Agricultural,691.8,0.57,0.47,0,0,0,26_81
IND_S000084,33.65727,78.74806,Himachal Pradesh,Mandi,Western_Himalayas,2233.2,20.66,261.5,-0.392,1481.0,1257.6,231.9,20.8,7.97,0.95,3.68,1.09,0.413,Dense_Forest,274.6,0.24,0.21,0,0,0,33_78
IND_S000085,25.9531,84.02556,Uttar Pradesh,Ballia,Indo_Gangetic_Plain,75.1,1.17,119.1,0.455,1156.4,889.9,78.8,28.5,6.16,1.48,4.18,1.14,0.472,Agricultural,620.2,0.55,0.16,0,0,0,25_84
IND_S000086,25.37571,81.19488,West Bengal,Murshidabad,Indo_Gangetic_Plain,9.6,2.11,164.1,-0.147,922.9,784.2,130.3,34.7,2.63,2.06,3.52,0.05,0.619,Water_Body,1239.0,0.43,0.59,0,0,0,25_81
IND_S000087,20.19196,80.02518,Odisha,Koraput,Central_Plateau,463.6,1.54,239.7,0.192,1682.0,1388.9,183.6,25.9,9.12,0.56,0.88,0.52,0.646,Dense_Forest,140.4,0.34,0.13,0,0,0,20_80
IND_S000088,9.49999,74.91677,Kerala,Idukki,Western_Ghats,661.3,23.43,197.0,0.642,2885.6,2215.9,369.1,28.0,0.29,2.42,1.66,0.63,0.814,Dense_Forest,720.7,0.32,0.22,0,1,0,9_74
IND_S000089,16.88858,77.76649,Telangana,Khammam,Deccan_Plateau,416.2,4.8,189.2,-0.432,885.9,717.7,130.6,27.6,11.46,0.88,0.85,2.01,0.474,Settlement,300.0,0.57,0.56,0,0,0,16_77
IND_S000090,24.52932,86.19217,Uttar Pradesh,Gorakhpur,Indo_Gangetic_Plain,51.6,6.5,83.8,-0.362,1069.7,813.3,122.8,29.7,0.54,2.18,3.49,0.95,0.15,Water_Body,242.0,0.43,0.43,0,0,0,24_86
IND_S000091,31.21086,79.44658,Himachal Pradesh,Kullu,Western_Himalayas,2372.8,45.54,28.9,-1.997,1231.0,1074.6,193.5,17.9,0.93,1.23,1.09,1.13,0.243,Open_Forest,198.8,0.35,0.59,0,1,0,31_79
IND_S000092,21.33303,81.2003,Madhya Pradesh,Balaghat,Central_Plateau,526.3,5.1,216.6,0.111,1166.8,931.8,82.6,33.0,0.75,0.78,0.02,0.84,0.796,Plantation,525.4,0.35,0.35,0,0,0,21_81
IND_S000093,23.48887,82.40871,Odisha,Koraput,Central_Plateau,319.7,0.1,224.9,0.117,1165.5,997.5,211.7,29.7,3.47,1.44,2.36,0.82,0.589,Agricultural,85.8,0.23,0.47,0,0,0,23_82
IND_S000094,14.62044,75.66266,Karnataka,Uttara Kannada,Western_Ghats,1020.8,11.13,131.8,2.878,1570.4,1238.7,210.4,26.8,1.32,1.01,2.16,1.92,0.71,Agricultural,347.6,0.46,0.12,0,0,0,14_75
IND_S000095,19.69888,80.45125,Odisha,Mayurbhanj,Central_Plateau,355.9,0.68,116.8,0.252,1559.9,1192.8,175.6,28.6,26.98,0.92,4.92,0.54,0.721,Dense_Forest,517.3,0.41,0.34,0,0,0,19_80
IND_S000096,27.09612,87.22553,Uttar Pradesh,Ballia,Indo_Gangetic_Plain,5.0,0.48,175.1,-0.078,794.9,572.3,63.4,32.8,1.31,1.84,4.07,1.11,0.8,Agricultural,54.5,0.54,0.31,0,0,0,27_87
IND_S000097,11.79644,75.44413,Karnataka,Kodagu,Western_Ghats,774.0,30.19,192.6,1.017,2944.4,2155.8,261.7,27.6,0.05,1.94,0.56,1.46,0.696,Water_Body,320.6,0.12,0.14,0,1,0,11_75
IND_S000098,25.81654,87.80781,Bihar,Supaul,Indo_Gangetic_Plain,140.8,0.48,82.7,0.124,544.3,422.5,91.9,31.6,0.37,1.25,1.34,1.27,0.6,Agricultural,23.5,0.29,0.17,0,0,0,25_87
IND_S000099,31.82362,77.54731,Himachal Pradesh,Kullu,Western_Himalayas,2224.6,26.94,74.0,0.396,1292.4,1110.7,170.0,18.1,1.17,0.35,3.12,0.5,0.764,Barren_Rocky,724.5,0.35,0.27,0,0,0,31_77
IND_S000100,33.54564,74.94318,Himachal Pradesh,Mandi,Western_Himalayas,1716.2,46.53,228.6,-0.833,1866.2,1602.1,318.8,22.8,13.38,0.75,3.05,0.34,0.216,Dense_Forest,37.7,0.55,0.42,0,1,0,33_74
IND_S000101,31.53467,76.70662,Himachal Pradesh,Kullu,Western_Himalayas,3822.9,27.51,214.6,1.362,1803.6,1322.6,208.6,10.2,10.25,1.49,1.75,1.3,0.712,Settlement,6321.7,0.37,0.83,0,1,0,31_76
IND_S000102,15.12231,75.46727,Maharashtra,Raigad,Western_Ghats,721.7,19.95,25.2,-1.326,2367.9,1814.6,316.9,25.3,1.66,1.26,0.05,0.05,0.739,Plantation,426.8,0.53,0.57,0,1,0,15_75
IND_S000103,24.62202,86.47704,Bihar,Supaul,Indo_Gangetic_Plain,191.7,4.55,333.8,0.011,1144.6,823.7,118.8,31.0,1.01,2.85,0.39,0.58,0.674,Agricultural,369.8,0.38,0.28,0,0,0,24_86
IND_S000104,10.44921,74.05593,Kerala,Wayanad,Western_Ghats,398.4,26.86,301.8,-1.039,3576.3,2927.1,285.0,28.8,1.09,1.8,0.27,0.05,0.622,Dense_Forest,16.2,0.28,0.48,0,0,0,10_74
IND_S000105,25.32782,72.38335,Rajasthan,Jaisalmer,Arid_West,295.4,0.86,335.6,0.163,489.5,426.5,76.5,27.7,4.71,0.54,3.27,0.31,0.298,Agricultural,210.6,0.15,0.12,0,0,0,25_72
IND_S000106,25.52144,91.20643,Sikkim,North Sikkim,Eastern_Himalayas_NE,80.0,22.44,358.1,-0.598,1925.7,1544.9,304.2,29.6,0.47,1.62,8.79,1.3,0.02,Settlement,13004.2,0.63,0.46,0,0,0,25_91
IND_S000107,26.20848,78.19661,West Bengal,Murshidabad,Indo_Gangetic_Plain,48.2,4.99,233.4,-0.117,1354.2,1091.7,220.4,31.5,7.12,0.9,2.25,0.66,0.309,Water_Body,1084.5,0.58,0.45,0,0,0,26_78
IND_S000108,19.29883,80.10629,Odisha,Koraput,Central_Plateau,405.4,2.75,44.9,-0.072,1481.5,1270.3,241.2,32.7,0.95,1.13,1.89,0.8,0.796,Plantation,119.4,0.28,0.27,0,0,0,19_80
IND_S000109,28.15142,91.49604,Assam,Morigaon,Eastern_Himalayas_NE,1063.0,10.91,185.1,-0.278,2854.9,2088.9,213.5,28.6,1.17,1.86,1.8,1.09,0.297,Barren_Sandy,294.9,0.5,0.41,0,0,0,28_91
IND_S000110,29.76177,79.01698,Himachal Pradesh,Mandi,Western_Himalayas,911.5,17.38,357.2,1.673,1246.5,940.1,138.9,29.0,4.15,1.17,0.04,0.19,0.691,Grassland,644.6,0.38,0.49,0,0,0,29_79
