City Name,State,Latitude,Longitude,Elevation (m),Annual Rainfall (mm),Earthquake Frequency,Erosion Index,Mining Activity,Landslide Probability,Flood Probability,Temperature (°C)
Srinagar,Jammu & Kashmir,10.563976,69.638536,52,1317.19,5,5.7,Yes,0.964,0.261,10.7
Aurangabad,Maharashtra,22.483056,86.925439,1708,2515.34,5,1.7,Yes,0.898,0.777,14.5
Dhanbad,Jharkhand,12.952993,84.150365,95,4015.71,3,6.7,Yes,0.462,0.724,38.9
Mumbai,Maharashtra,32.229871,73.845884,175,2430.4,3,7,Yes,0.9,0.534,29
Delhi,Delhi,13.580364,79.677749,834,1059.04,5,2.5,Yes,0.383,0.334,13.1
Bangalore,Karnataka,25.978125,96.90783,2746,1021.32,4,3,Yes,0.347,0.592,35.4
Hyderabad,Telangana,21.514782,88.5487,2360,2194.25,3,5.4,No,0.039,0.926,29.6
Ahmedabad,Gujarat,18.986384,78.086419,2080,1050.73,2,9.3,Yes,0.21,0.511,16.7
Chennai,Tamil Nadu,18.068761,87.162282,1237,3866.32,3,0.3,Yes,0.848,0.767,22.3
Kolkata,West Bengal,34.125848,69.573603,2479,4036.95,2,8.3,Yes,0.448,0.84,21.5
Pune,Maharashtra,12.817565,83.551053,4,1129.53,5,6.8,Yes,0.14,0.408,38.5
Jaipur,Rajasthan,20.808023,95.473024,1020,4015.46,2,8.1,Yes,0.163,0.506,43.3
Surat,Gujarat,19.157514,90.850244,814,1678.71,4,3.5,Yes,0.689,0.002,22
Lucknow,Uttar Pradesh,18.227643,90.828306,2533,1641.99,5,7.4,Yes,0.985,0.478,16.9
Kanpur,Uttar Pradesh,33.79529,85.230376,2369,1794.55,4,3.6,Yes,0.096,0.394,16.7
Nagpur,Maharashtra,13.010688,91.337627,1609,2229.89,3,7.5,No,0.779,0.678,24.3
Visakhapatnam,Andhra Pradesh,12.344025,76.173546,1800,2777.55,3,8.8,Yes,0.65,0.615,13.7
Bhopal,Madhya Pradesh,22.298821,83.161657,2774,3295.59,5,1.8,Yes,0.998,0.988,21.1
Patna,Bihar,24.335381,69.33367,451,3232.36,1,0.2,Yes,0.229,0.776,34.9
Vadodara,Gujarat,9.956624,68.828719,1570,1083.67,4,2.1,Yes,0.856,0.372,12.7
Ghaziabad,Uttar Pradesh,20.080184,82.903338,34,4869.15,4,0.5,Yes,0.974,0.124,21.6
Ludhiana,Punjab,10.860576,91.403074,2907,4214.4,1,0.8,Yes,0.382,0.6,28.6
Agra,Uttar Pradesh,15.908097,93.015975,401,2987.52,4,9.9,No,0.838,0.328,19.3
Nashik,Maharashtra,11.106922,89.170684,1337,4283.08,1,6.9,Yes,0.271,0.66,11.1
Faridabad,Haryana,24.068514,74.210088,2635,4367.47,4,9.1,Yes,0.503,0.182,30.6
Meerut,Uttar Pradesh,29.990786,86.542117,1280,1702.51,2,3.4,No,0.243,0.67,19.7
Rajkot,Gujarat,23.066131,84.8132,1744,3710.14,5,1,Yes,0.534,0.742,35.3
Kalyan,Maharashtra,19.231521,74.376706,276,1643.07,4,5,No,0.407,0.978,18.9
Vasai-Virar,Maharashtra,31.750619,73.884155,1170,2882.45,2,1.5,Yes,0.087,0.226,17.4
Varanasi,Uttar Pradesh,23.423923,82.084304,896,4820.58,5,2.9,No,0.85,0.526,34
Srinagar,Jammu & Kashmir,15.596,86.660928,763,1657.96,1,6.2,Yes,0.848,0.997,18.9
Aurangabad,Maharashtra,22.483056,86.925439,1708,2515.34,5,1.7,Yes,0.898,0.777,14.5
Dhanbad,Jharkhand,21.049355,68.699279,2472,843.77,5,6.2,No,0.754,0.728,42.1
Mumbai,Maharashtra,18.837913,95.055263,579,4900.39,2,6.4,Yes,0.765,0.504,31.5
Delhi,Delhi,35.853288,92.950707,2939,2608.19,2,6.9,No,0.768,0.123,32.5
Bangalore,Karnataka,21.055973,93.222731,2638,4365.76,2,0.1,Yes,0.375,0.905,21.7
Hyderabad,Telangana,10.477422,76.7669,551,3881.93,5,2.6,Yes,0.334,0.698,38.9
Ahmedabad,Gujarat,10.696622,79.808312,2589,4097.96,3,2.3,Yes,0.557,0.758,21.6
Chennai,Tamil Nadu,9.749007,95.327845,575,962.36,3,6.9,No,0.796,0.79,44.3
Kolkata,West Bengal,21.216126,93.178662,92,509.03,5,6.5,No,0.034,0.932,31.9
Pune,Maharashtra,10.170422,68.666766,1536,4449.4,4,1.4,Yes,0.635,0.118,29.5
Jaipur,Rajasthan,26.234035,83.076334,1773,1430.59,4,6.1,Yes,0.769,0.071,23.4
Surat,Gujarat,25.006337,93.35844,2231,1681.41,3,7.9,Yes,0.171,0.235,40.2
Lucknow,Uttar Pradesh,17.487901,69.216156,2887,3187.18,1,4.1,Yes,0.813,0.918,38.8
Kanpur,Uttar Pradesh,15.790683,72.447841,1403,1895.5,3,9.5,Yes,0.184,0.807,10.7
Nagpur,Maharashtra,18.805503,95.204914,213,4980.76,4,1,No,0.205,0.116,42.9
Visakhapatnam,Andhra Pradesh,14.565955,85.795041,1089,705,2,9.4,Yes,0.024,0.021,43.1
Bhopal,Madhya Pradesh,35.242443,79.098766,2798,2312.74,3,0.4,No,0.994,0.009,14.7
Patna,Bihar,18.766981,74.07476,309,939.95,2,9.2,No,0.122,0.012,29
Vadodara,Gujarat,10.256444,77.439941,2245,2883.97,1,9.1,No,0.902,0.117,44.8
Ghaziabad,Uttar Pradesh,23.882656,86.622947,2617,2541.94,5,6.3,Yes,0.518,0.198,25
Ludhiana,Punjab,26.662033,75.634558,708,3133.12,1,0.9,No,0.407,0.526,27
Agra,Uttar Pradesh,35.678039,71.715547,459,3861,3,1,No,0.581,0.374,42
Nashik,Maharashtra,24.078316,89.833599,1987,1700.36,4,7.1,Yes,0.043,0.519,11.7
Faridabad,Haryana,23.637029,91.221453,822,4404.99,5,9.6,Yes,0.39,0.916,23.2
Meerut,Uttar Pradesh,12.412433,71.774668,1635,1049.55,3,2.2,Yes,0.254,0.772,38.3
Rajkot,Gujarat,24.367139,91.45366,452,1007.54,5,3.3,No,0.964,0.457,13.9
Kalyan,Maharashtra,31.495153,92.206566,2462,1405.39,3,7.7,No,0.478,0.197,36.8
Vasai-Virar,Maharashtra,19.34516,70.948796,2179,4456.27,3,3.8,Yes,0.643,0.104,12.3
Varanasi,Uttar Pradesh,25.672686,71.012086,2713,1073.5,2,0.1,No,0.86,0.783,25.8
Srinagar,Jammu & Kashmir,9.515744,90.956728,2954,4548.97,4,0.7,No,0.329,0.882,22.4
Aurangabad,Maharashtra,15.758248,82.580401,510,1852.34,2,9.9,No,0.069,0.467,27.2
Dhanbad,Jharkhand,8.776759,86.240224,2663,2835.94,4,9.9,Yes,0.19,0.585,16.4
Mumbai,Maharashtra,11.008165,95.257048,2483,4375.29,3,9.2,No,0.061,0.246,26.1
Delhi,Delhi,22.601778,74.3976,478,1223.15,2,1,No,0.448,0.368,25.5
Bangalore,Karnataka,12.889486,91.489735,174,3187.06,1,8.6,Yes,0.881,0.037,13.6
Hyderabad,Telangana,16.531087,86.4185,2809,4317.8,2,2.9,Yes,0.507,0.829,12.4
Ahmedabad,Gujarat,20.512837,91.350462,1664,1329.72,1,6.9,Yes,0.856,0.441,40.9
Chennai,Tamil Nadu,34.996994,85.728408,1516,1361.79,1,8.5,No,0.288,0.73,19.2
Kolkata,West Bengal,28.418712,72.089292,2687,2020.99,5,8,No,0.648,0.055,35.1
Pune,Maharashtra,11.31666,72.896826,1129,2165.37,5,1,Yes,0.553,0.826,40.9
Jaipur,Rajasthan,33.944374,78.894372,516,2144.29,5,9,No,0.108,0.768,15.8
Surat,Gujarat,9.105683,68.267482,968,2504.17,1,3.4,No,0.615,0.583,19.4
Lucknow,Uttar Pradesh,23.530201,70.500342,266,2535.82,5,0.5,No,0.01,0.054,15.1
Kanpur,Uttar Pradesh,13.631989,69.116524,2677,532.16,4,0.7,Yes,0.73,0.419,33.6
Nagpur,Maharashtra,25.370239,83.828088,1149,2770.92,2,1,No,0.936,0.39,41.2
Visakhapatnam,Andhra Pradesh,17.923245,90.753265,1618,2745.67,1,2.6,Yes,0.446,0.432,22.1
Bhopal,Madhya Pradesh,19.595873,73.927287,809,3082.94,1,7.5,No,0.585,0.104,32.5
Patna,Bihar,27.224182,73.468275,2209,927.69,5,2.1,No,0.225,0.199,36.8
Vadodara,Gujarat,35.646167,74.199485,2704,879.36,5,5.3,No,0.13,0.948,30.6
Ghaziabad,Uttar Pradesh,30.741449,72.351645,1210,2005.29,2,4.8,No,0.476,0.803,18.2
Ludhiana,Punjab,32.429457,95.208827,2348,4202.8,2,8.4,Yes,0.925,0.645,24.4
Agra,Uttar Pradesh,34.313328,94.504854,238,1577.14,5,2.2,Yes,0.862,0.405,36.6
Nashik,Maharashtra,32.221166,95.972671,115,2757.23,5,4.4,No,0.693,0.818,44
Faridabad,Haryana,10.315499,91.199786,2649,4474.24,3,6.2,No,0.907,0.181,18.7
Meerut,Uttar Pradesh,11.955394,71.985302,1224,3294.88,2,6.7,Yes,0.509,0.162,27.5
Rajkot,Gujarat,27.523164,68.653341,177,4812.64,1,1.4,Yes,0.255,0.19,34.4
Kalyan,Maharashtra,32.527307,81.21513,2965,3251.05,5,7,Yes,0.926,0.882,28.5
Vasai-Virar,Maharashtra,22.477624,89.940983,1199,3405.12,1,4,No,0.066,0.595,16.5
Varanasi,Uttar Pradesh,28.613736,93.713295,712,2661.81,2,2.8,No,0.588,0.282,29.1
Srinagar,Jammu & Kashmir,26.84497,81.52225,1836,2833.93,1,8.9,No,0.405,0.38,15.7
Aurangabad,Maharashtra,18.085567,89.502096,385,4442.9,5,8.3,Yes,0.331,0.248,43.2
Dhanbad,Jharkhand,32.329813,84.6611,672,3487.75,1,7.7,No,0.182,0.57,31.9
Mumbai,Maharashtra,17.135532,94.794739,1013,1142.68,1,5.5,No,0.268,0.594,26.5
Delhi,Delhi,9.950268,86.607864,2489,1237.12,1,6.2,Yes,0.205,0.16,16.5
Bangalore,Karnataka,22.528435,71.082098,2876,4297.99,4,7.9,No,0.05,0.75,31.5
Hyderabad,Telangana,21.514782,88.5487,2360,2194.25,3,5.4,No,0.039,0.926,29.6
Ahmedabad,Gujarat,18.986384,78.086419,2080,1050.73,2,9.3,Yes,0.21,0.511,16.7
Chennai,Tamil Nadu,18.068761,87.162282,1237,3866.32,3,0.3,Yes,0.848,0.767,22.3
Kolkata,West Bengal,34.125848,69.573603,2479,4036.95,2,8.3,Yes,0.448,0.84,21.5
Pune,Maharashtra,12.817565,83.551053,4,1129.53,5,6.8,Yes,0.14,0.408,38.5
Jaipur,Rajasthan,20.808023,95.473024,1020,4015.46,2,8.1,Yes,0.163,0.506,43.3
Surat,Gujarat,19.157514,90.850244,814,1678.71,4,3.5,Yes,0.689,0.002,22
Lucknow,Uttar Pradesh,18.227643,90.828306,2533,1641.99,5,7.4,Yes,0.985,0.478,16.9
Kanpur,Uttar Pradesh,33.79529,85.230376,2369,1794.55,4,3.6,Yes,0.096,0.394,16.7
Nagpur,Maharashtra,13.010688,91.337627,1609,2229.89,3,7.5,No,0.779,0.678,24.3
Visakhapatnam,Andhra Pradesh,12.344025,76.173546,1800,2777.55,3,8.8,Yes,0.65,0.615,13.7
Bhopal,Madhya Pradesh,22.298821,83.161657,2774,3295.59,5,1.8,Yes,0.998,0.988,21.1
Patna,Bihar,24.335381,69.33367,451,3232.36,1,0.2,Yes,0.229,0.776,34.9
Vadodara,Gujarat,9.956624,68.828719,1570,1083.67,4,2.1,Yes,0.856,0.372,12.7
Ghaziabad,Uttar Pradesh,20.080184,82.903338,34,4869.15,4,0.5,Yes,0.974,0.124,21.6
Ludhiana,Punjab,10.860576,91.403074,2907,4214.4,1,0.8,Yes,0.382,0.6,28.6
Agra,Uttar Pradesh,15.908097,93.015975,401,2987.52,4,9.9,No,0.838,0.328,19.3
Nashik,Maharashtra,20.251662,85.770605,2319,4769.98,5,1.8,Yes,0.992,0.54,24.3
Faridabad,Haryana,16.597213,92.508187,1413,2993.56,3,1.9,Yes,0.988,0.389,39.8
Meerut,Uttar Pradesh,25.889273,83.288646,2296,4772.16,3,0.6,No,0.421,0.294,34.9
Rajkot,Gujarat,28.342726,77.799948,929,4081.65,4,6.1,No,0.527,0.255,16.3
Kalyan,Maharashtra,32.571172,82.455388,701,1166.11,1,2.1,Yes,0.449,0.159,17.9
Vasai-Virar,Maharashtra,32.862449,75.803242,2392,2505.75,4,5.1,Yes,0.827,0.341,12.1
Varanasi,Uttar Pradesh,13.980945,96.591183,2008,3503.47,3,2.1,No,0.431,0.612,12.8
Srinagar,Jammu & Kashmir,10.563976,69.638536,52,1317.19,5,5.7,Yes,0.964,0.261,10.7
Aurangabad,Maharashtra,22.483056,86.925439,1708,2515.34,5,1.7,Yes,0.898,0.777,14.5
Dhanbad,Jharkhand,12.952993,84.150365,95,4015.71,3,6.7,Yes,0.462,0.724,38.9
Mumbai,Maharashtra,32.229871,73.845884,175,2430.4,3,7,Yes,0.9,0.534,29
Delhi,Delhi,13.580364,79.677749,834,1059.04,5,2.5,Yes,0.383,0.334,13.1
Bangalore,Karnataka,25.978125,96.90783,2746,1021.32,4,3,Yes,0.347,0.592,35.4
Hyderabad,Telangana,21.514782,88.5487,2360,2194.25,3,5.4,No,0.039,0.926,29.6
Ahmedabad,Gujarat,18.986384,78.086419,2080,1050.73,2,9.3,Yes,0.21,0.511,16.7
Chennai,Tamil Nadu,18.068761,87.162282,1237,3866.32,3,0.3,Yes,0.848,0.767,22.3
Kolkata,West Bengal,34.125848,69.573603,2479,4036.95,2,8.3,Yes,0.448,0.84,21.5
Pune,Maharashtra,12.817565,83.551053,4,1129.53,5,6.8,Yes,0.14,0.408,38.5
Jaipur,Rajasthan,20.808023,95.473024,1020,4015.46,2,8.1,Yes,0.163,0.506,43.3
Surat,Gujarat,19.157514,90.850244,814,1678.71,4,3.5,Yes,0.689,0.002,22
Lucknow,Uttar Pradesh,18.227643,90.828306,2533,1641.99,5,7.4,Yes,0.985,0.478,16.9
Kanpur,Uttar Pradesh,33.79529,85.230376,2369,1794.55,4,3.6,Yes,0.096,0.394,16.7
Nagpur,Maharashtra,13.010688,91.337627,1609,2229.89,3,7.5,No,0.779,0.678,24.3
Visakhapatnam,Andhra Pradesh,12.344025,76.173546,1800,2777.55,3,8.8,Yes,0.65,0.615,13.7
Bhopal,Madhya Pradesh,22.298821,83.161657,2774,3295.59,5,1.8,Yes,0.998,0.988,21.1
Patna,Bihar,24.335381,69.33367,451,3232.36,1,0.2,Yes,0.229,0.776,34.9
Vadodara,Gujarat,9.956624,68.828719,1570,1083.67,4,2.1,Yes,0.856,0.372,12.7
Ghaziabad,Uttar Pradesh,20.080184,82.903338,34,4869.15,4,0.5,Yes,0.974,0.124,21.6
Ludhiana,Punjab,10.860576,91.403074,2907,4214.4,1,0.8,Yes,0.382,0.6,28.6
Agra,Uttar Pradesh,15.908097,93.015975,401,2987.52,4,9.9,No,0.838,0.328,19.3
Nashik,Maharashtra,11.106922,89.170684,1337,4283.08,1,6.9,Yes,0.271,0.66,11.1
Faridabad,Haryana,24.068514,74.210088,2635,4367.47,4,9.1,Yes,0.503,0.182,30.6
Meerut,Uttar Pradesh,29.990786,86.542117,1280,1702.51,2,3.4,No,0.243,0.67,19.7
Rajkot,Gujarat,23.066131,84.8132,1744,3710.14,5,1,Yes,0.534,0.742,35.3
Kalyan,Maharashtra,19.231521,74.376706,276,1643.07,4,5,No,0.407,0.978,18.9
Vasai-Virar,Maharashtra,31.750619,73.884155,1170,2882.45,2,1.5,Yes,0.087,0.226,17.4
Varanasi,Uttar Pradesh,23.423923,82.084304,896,4820.58,5,2.9,No,0.85,0.526,34
Srinagar,Jammu & Kashmir,15.596,86.660928,763,1657.96,1,6.2,Yes,0.848,0.997,18.9
Aurangabad,Maharashtra,22.483056,86.925439,1708,2515.34,5,1.7,Yes,0.898,0.777,14.5
Dhanbad,Jharkhand,21.049355,68.699279,2472,843.77,5,6.2,No,0.754,0.728,42.1
Mumbai,Maharashtra,18.837913,95.055263,579,4900.39,2,6.4,Yes,0.765,0.504,31.5
Delhi,Delhi,35.853288,92.950707,2939,2608.19,2,6.9,No,0.768,0.123,32.5
Bangalore,Karnataka,21.055973,93.222731,2638,4365.76,2,0.1,Yes,0.375,0.905,21.7
Hyderabad,Telangana,10.477422,76.7669,551,3881.93,5,2.6,Yes,0.334,0.698,38.9
Ahmedabad,Gujarat,10.696622,79.808312,2589,4097.96,3,2.3,Yes,0.557,0.758,21.6
Chennai,Tamil Nadu,9.749007,95.327845,575,962.36,3,6.9,No,0.796,0.79,44.3
Kolkata,West Bengal,21.216126,93.178662,92,509.03,5,6.5,No,0.034,0.932,31.9
Pune,Maharashtra,10.170422,68.666766,1536,4449.4,4,1.4,Yes,0.635,0.118,29.5
Jaipur,Rajasthan,20.808023,95.473024,1020,4015.46,2,8.1,Yes,0.163,0.506,43.3
Surat,Gujarat,19.157514,90.850244,814,1678.71,4,3.5,Yes,0.689,0.002,22
Lucknow,Uttar Pradesh,18.227643,90.828306,2533,1641.99,5,7.4,Yes,0.985,0.478,16.9
Kanpur,Uttar Pradesh,33.79529,85.230376,2369,1794.55,4,3.6,Yes,0.096,0.394,16.7
Nagpur,Maharashtra,13.010688,91.337627,1609,2229.89,3,7.5,No,0.779,0.678,24.3
Visakhapatnam,Andhra Pradesh,12.344025,76.173546,1800,2777.55,3,8.8,Yes,0.65,0.615,13.7
Bhopal,Madhya Pradesh,22.298821,83.161657,2774,3295.59,5,1.8,Yes,0.998,0.988,21.1
Patna,Bihar,24.335381,69.33367,451,3232.36,1,0.2,Yes,0.229,0.776,34.9
Vadodara,Gujarat,9.956624,68.828719,1570,1083.67,4,2.1,Yes,0.856,0.372,12.7
Ghaziabad,Uttar Pradesh,20.080184,82.903338,34,4869.15,4,0.5,Yes,0.974,0.124,21.6
Ludhiana,Punjab,10.860576,91.403074,2907,4214.4,1,0.8,Yes,0.382,0.6,28.6
Agra,Uttar Pradesh,15.908097,93.015975,401,2987.52,4,9.9,No,0.838,0.328,19.3
Nashik,Maharashtra,11.106922,89.170684,1337,4283.08,1,6.9,Yes,0.271,0.66,11.1
Faridabad,Haryana,24.068514,74.210088,2635,4367.47,4,9.1,Yes,0.503,0.182,30.6
Meerut,Uttar Pradesh,29.990786,86.542117,1280,1702.51,2,3.4,No,0.243,0.67,19.7
Rajkot,Gujarat,23.066131,84.8132,1744,3710.14,5,1,Yes,0.534,0.742,35.3
Kalyan,Maharashtra,19.231521,74.376706,276,1643.07,4,5,No,0.407,0.978,18.9
Vasai-Virar,Maharashtra,31.750619,73.884155,1170,2882.45,2,1.5,Yes,0.087,0.226,17.4
Varanasi,Uttar Pradesh,23.423923,82.084304,896,4820.58,5,2.9,No,0.85,0.526,34
Srinagar,Jammu & Kashmir,15.596,86.660928,763,1657.96,1,6.2,Yes,0.848,0.997,18.9
Aurangabad,Maharashtra,22.483056,86.925439,1708,2515.34,5,1.7,Yes,0.898,0.777,14.5
Dhanbad,Jharkhand,21.049355,68.699279,2472,843.77,5,6.2,No,0.754,0.728,42.1
Mumbai,Maharashtra,18.837913,95.055263,579,4900.39,2,6.4,Yes,0.765,0.504,31.5
Delhi,Delhi,35.853288,92.950707,2939,2608.19,2,6.9,No,0.768,0.123,32.5
Bangalore,Karnataka,21.055973,93.222731,2638,4365.76,2,0.1,Yes,0.375,0.905,21.7
Hyderabad,Telangana,10.477422,76.7669,551,3881.93,5,2.6,Yes,0.334,0.698,38.9
Ahmedabad,Gujarat,10.696622,79.808312,2589,4097.96,3,2.3,Yes,0.557,0.758,21.6
Chennai,Tamil Nadu,9.749007,95.327845,575,962.36,3,6.9,No,0.796,0.79,44.3
Kolkata,West Bengal,21.216126,93.178662,92,509.03,5,6.5,No,0.034,0.932,31.9
Pune,Maharashtra,10.170422,68.666766,1536,4449.4,4,1.4,Yes,0.635,0.118,29.5
Jaipur,Rajasthan,20.808023,95.473024,1020,4015.46,2,8.1,Yes,0.163,0.506,43.3
Surat,Gujarat,19.157514,90.850244,814,1678.71,4,3.5,Yes,0.689,0.002,22
Lucknow,Uttar Pradesh,18.227643,90.828306,2533,1641.99,5,7.4,Yes,0.985,0.478,16.9
Kanpur,Uttar Pradesh,33.79529,85.230376,2369,1794.55,4,3.6,Yes,0.096,0.394,16.7
Nagpur,Maharashtra,13.010688,91.337627,1609,2229.89,3,7.5,No,0.779,0.678,24.3
Visakhapatnam,Andhra Pradesh,12.344025,76.173546,1800,2777.55,3,8.8,Yes,0.65,0.615,13.7
Bhopal,Madhya Pradesh,22.298821,83.161657,2774,3295.59,5,1.8,Yes,0.998,0.988,21.1
Patna,Bihar,24.335381,69.33367,451,3232.36,1,0.2,Yes,0.229,0.776,34.9
Vadodara,Gujarat,9.956624,68.828719,1570,1083.67,4,2.1,Yes,0.856,0.372,12.7
Ghaziabad,Uttar Pradesh,20.080184,82.903338,34,4869.15,4,0.5,Yes,0.974,0.124,21.6
Ludhiana,Punjab,10.860576,91.403074,2907,4214.4,1,0.8,Yes,0.382,0.6,28.6
Agra,Uttar Pradesh,15.908097,93.015975,401,2987.52,4,9.9,No,0.838,0.328,19.3
Nashik,Maharashtra,11.106922,89.170684,1337,4283.08,1,6.9,Yes,0.271,0.66,11.1
Faridabad,Haryana,24.068514,74.210088,2635,4367.47,4,9.1,Yes,0.503,0.182,30.6
Meerut,Uttar Pradesh,29.990786,86.542117,1280,1702.51,2,3.4,No,0.243,0.67,19.7
Rajkot,Gujarat,23.066131,84.8132,1744,3710.14,5,1,Yes,0.534,0.742,35.3
Kalyan,Maharashtra,19.231521,74.376706,276,1643.07,4,5,No,0.407,0.978,18.9
Vasai-Virar,Maharashtra,31.750619,73.884155,1170,2882.45,2,1.5,Yes,0.087,0.226,17.4
