elevation_m,slope_deg,aspect_deg,curvature,slope_instability_index,annual_rainfall_mm,monsoon_rainfall_mm,max_daily_rainfall_mm,dist_to_road_km,dist_to_river_km,ndvi,lulc_Agricultural,lulc_Barren,lulc_Barren_Rocky,lulc_Barren_Sandy,lulc_Dense_Forest,lulc_Grassland,lulc_Open_Forest,lulc_Plantation,lulc_Scrubland,lulc_Settlement,lulc_Water_Body,lulc_Wetland,landslide_label,state,district
2783.4,9.02,257.5,-1.901,17.147019999999998,1080.9,813.3,175.4,4.63,3.08,0.371,False,False,False,False,False,False,True,False,False,False,False,False,0,Himachal Pradesh,Mandi
315.4,1.24,305.3,0.509,0.63116,836.6,601.5,60.0,2.59,5.7,0.152,True,False,False,False,False,False,False,False,False,False,False,False,0,Andhra Pradesh,East Godavari
80.0,16.32,8.1,0.04,0.6528,2959.7,2090.5,339.9,0.04,5.68,0.73,False,False,False,False,True,False,False,False,False,False,False,False,0,Kerala,Wayanad
201.0,7.44,164.8,-0.292,2.17248,886.7,765.0,122.1,2.64,3.33,0.521,True,False,False,False,False,False,False,False,False,False,False,False,0,Uttar Pradesh,Ballia
2233.2,20.66,261.5,-0.392,8.09872,1481.0,1257.6,231.9,3.68,7.97,0.413,False,False,False,False,True,False,False,False,False,False,False,False,0,Himachal Pradesh,Mandi
75.1,1.17,119.1,0.455,0.53235,1156.4,889.9,78.8,4.18,6.16,0.472,True,False,False,False,False,False,False,False,False,False,False,False,0,Uttar Pradesh,Ballia
9.6,2.11,164.1,-0.147,0.31016999999999995,922.9,784.2,130.3,3.52,2.63,0.619,False,False,False,False,False,False,False,False,False,False,True,False,0,West Bengal,Murshidabad
463.6,1.54,239.7,0.192,0.29568,1682.0,1388.9,183.6,0.88,9.12,0.646,False,False,False,False,True,False,False,False,False,False,False,False,0,Odisha,Koraput
661.3,23.43,197.0,0.642,15.04206,2885.6,2215.9,369.1,1.66,0.29,0.814,False,False,False,False,True,False,False,False,False,False,False,False,1,Kerala,Idukki
416.2,4.8,189.2,-0.432,2.0736,885.9,717.7,130.6,0.85,11.46,0.474,False,False,False,False,False,False,False,False,False,True,False,False,0,Telangana,Khammam
51.6,6.5,83.8,-0.362,2.3529999999999998,1069.7,813.3,122.8,3.49,0.54,0.15,False,False,False,False,False,False,False,False,False,False,True,False,0,Uttar Pradesh,Gorakhpur
2372.8,45.54,28.9,-1.997,90.94338,1231.0,1074.6,193.5,1.09,0.93,0.243,False,False,False,False,False,False,True,False,False,False,False,False,1,Himachal Pradesh,Kullu
526.3,5.1,216.6,0.111,0.5660999999999999,1166.8,931.8,82.6,0.02,0.75,0.796,False,False,False,False,False,False,False,True,False,False,False,False,0,Madhya Pradesh,Balaghat
319.7,0.1,224.9,0.117,0.011700000000000002,1165.5,997.5,211.7,2.36,3.47,0.589,True,False,False,False,False,False,False,False,False,False,False,False,0,Odisha,Koraput
1020.8,11.13,131.8,2.878,32.032140000000005,1570.4,1238.7,210.4,2.16,1.32,0.71,True,False,False,False,False,False,False,False,False,False,False,False,0,Karnataka,Uttara Kannada
355.9,0.68,116.8,0.252,0.17136,1559.9,1192.8,175.6,4.92,26.98,0.721,False,False,False,False,True,False,False,False,False,False,False,False,0,Odisha,Mayurbhanj
5.0,0.48,175.1,-0.078,0.03744,794.9,572.3,63.4,4.07,1.31,0.8,True,False,False,False,False,False,False,False,False,False,False,False,0,Uttar Pradesh,Ballia
774.0,30.19,192.6,1.017,30.703229999999998,2944.4,2155.8,261.7,0.56,0.05,0.696,False,False,False,False,False,False,False,False,False,False,True,False,1,Karnataka,Kodagu
140.8,0.48,82.7,0.124,0.059519999999999997,544.3,422.5,91.9,1.34,0.37,0.6,True,False,False,False,False,False,False,False,False,False,False,False,0,Bihar,Supaul
2224.6,26.94,74.0,0.396,10.66824,1292.4,1110.7,170.0,3.12,1.17,0.764,False,False,True,False,False,False,False,False,False,False,False,False,0,Himachal Pradesh,Kullu
1716.2,46.53,228.6,-0.833,38.75949,1866.2,1602.1,318.8,3.05,13.38,0.216,False,False,False,False,True,False,False,False,False,False,False,False,1,Himachal Pradesh,Mandi
3822.9,27.51,214.6,1.362,37.46862,1803.6,1322.6,208.6,1.75,10.25,0.712,False,False,False,False,False,False,False,False,False,True,False,False,1,Himachal Pradesh,Kullu
721.7,19.95,25.2,-1.326,26.4537,2367.9,1814.6,316.9,0.05,1.66,0.739,False,False,False,False,False,False,False,True,False,False,False,False,1,Maharashtra,Raigad
191.7,4.55,333.8,0.011,0.05005,1144.6,823.7,118.8,0.39,1.01,0.674,True,False,False,False,False,False,False,False,False,False,False,False,0,Bihar,Supaul
398.4,26.86,301.8,-1.039,27.907539999999997,3576.3,2927.1,285.0,0.27,1.09,0.622,False,False,False,False,True,False,False,False,False,False,False,False,0,Kerala,Wayanad
295.4,0.86,335.6,0.163,0.14018,489.5,426.5,76.5,3.27,4.71,0.298,True,False,False,False,False,False,False,False,False,False,False,False,0,Rajasthan,Jaisalmer
80.0,22.44,358.1,-0.598,13.41912,1925.7,1544.9,304.2,8.79,0.47,0.02,False,False,False,False,False,False,False,False,False,True,False,False,0,Sikkim,North Sikkim
48.2,4.99,233.4,-0.117,0.5838300000000001,1354.2,1091.7,220.4,2.25,7.12,0.309,False,False,False,False,False,False,False,False,False,False,True,False,0,West Bengal,Murshidabad
405.4,2.75,44.9,-0.072,0.19799999999999998,1481.5,1270.3,241.2,1.89,0.95,0.796,False,False,False,False,False,False,False,True,False,False,False,False,0,Odisha,Koraput
1063.0,10.91,185.1,-0.278,3.0329800000000002,2854.9,2088.9,213.5,1.8,1.17,0.297,False,False,False,True,False,False,False,False,False,False,False,False,0,Assam,Morigaon
911.5,17.38,357.2,1.673,29.076739999999997,1246.5,940.1,138.9,0.04,4.15,0.691,False,False,False,False,False,True,False,False,False,False,False,False,0,Himachal Pradesh,Mandi
1244.1,15.02,349.9,1.237,18.57974,3119.0,2190.7,284.0,1.96,2.99,0.195,False,False,False,False,False,False,False,False,True,False,False,False,0,Sikkim,North Sikkim
766.1,29.58,199.1,0.242,7.158359999999999,2891.4,2088.1,310.7,0.62,2.34,0.424,False,False,False,False,False,False,False,False,False,True,False,False,1,Meghalaya,East Khasi Hills
245.8,5.1,84.6,-0.287,1.4636999999999998,583.2,420.3,75.7,3.71,3.55,0.201,True,False,False,False,False,False,False,False,False,False,False,False,0,Rajasthan,Barmer
410.6,2.95,316.1,-0.216,0.6372,576.7,452.3,87.4,0.61,20.49,0.155,False,False,False,False,False,False,False,False,False,True,False,False,0,Andhra Pradesh,East Godavari
747.4,15.09,343.0,-0.164,2.4747600000000003,3477.5,2796.4,316.7,1.2,0.67,0.71,False,False,False,False,False,False,False,True,False,False,False,False,0,Kerala,Idukki
511.1,2.95,53.4,-0.274,0.8083000000000001,916.2,785.1,119.6,8.17,3.83,0.223,False,False,False,False,False,False,False,False,False,True,False,False,0,Tamil Nadu,Nilgiris
475.6,1.67,186.1,-0.438,0.73146,692.9,525.4,64.9,0.5,8.35,0.219,False,False,False,False,False,False,False,False,True,False,False,False,0,Andhra Pradesh,East Godavari
1363.2,35.86,110.4,2.851,102.23686,3569.8,2773.9,324.3,1.61,3.15,0.324,True,False,False,False,False,False,False,False,False,False,False,False,1,Assam,Morigaon
437.6,0.24,94.3,0.183,0.04392,679.1,520.2,74.5,0.7,11.14,0.333,False,False,False,False,False,False,False,False,True,False,False,False,0,Andhra Pradesh,East Godavari
1437.1,23.98,273.8,1.406,33.71588,3571.2,3027.9,516.0,7.31,2.77,0.569,False,False,False,False,False,False,False,False,False,True,False,False,0,Maharashtra,Raigad
375.2,0.3,89.1,0.252,0.0756,955.3,812.3,130.8,1.08,9.0,0.51,True,False,False,False,False,False,False,False,False,False,False,False,0,Andhra Pradesh,East Godavari
269.4,5.58,242.6,0.134,0.74772,769.3,652.5,116.9,1.94,17.59,0.02,True,False,False,False,False,False,False,False,False,False,False,False,0,Telangana,Khammam
220.9,6.93,46.4,-0.252,1.74636,1195.7,1040.6,153.8,9.54,1.03,0.462,False,False,False,False,False,False,False,False,False,False,False,True,0,Bihar,Supaul
1527.4,21.65,99.1,0.068,1.4722,1026.6,726.4,96.7,1.89,7.8,0.554,False,False,False,False,True,False,False,False,False,False,False,False,0,Uttarakhand,Chamoli
404.4,26.8,65.4,2.082,55.797599999999996,3746.1,2956.1,415.3,4.83,1.16,0.326,True,False,False,False,False,False,False,False,False,False,False,False,0,Sikkim,North Sikkim
71.9,0.1,160.4,-0.11,0.011000000000000001,1257.8,924.8,193.9,4.89,1.21,0.709,False,False,False,False,False,False,False,False,False,False,False,True,0,Uttar Pradesh,Gorakhpur
441.1,3.95,27.7,0.222,0.8769,820.4,720.2,118.0,2.02,5.77,0.266,True,False,False,False,False,False,False,False,False,False,False,False,0,Andhra Pradesh,East Godavari
314.3,13.88,295.0,-0.042,0.58296,793.0,636.8,115.3,0.71,2.66,0.192,False,False,False,False,False,False,False,False,True,False,False,False,0,Tamil Nadu,Nilgiris
1408.7,22.51,131.2,-0.726,16.34226,1068.6,791.2,151.4,0.05,0.55,0.701,False,False,False,False,False,False,False,False,False,True,False,False,0,Jammu & Kashmir,Doda
528.8,15.47,241.7,1.901,29.40847,2702.0,1939.5,194.5,1.84,0.8,0.692,False,False,False,False,False,False,False,False,False,True,False,False,0,Maharashtra,Raigad
33.3,0.19,196.4,0.275,0.052250000000000005,805.4,671.1,143.0,0.81,0.32,0.472,False,False,False,False,False,False,False,False,False,False,True,False,0,West Bengal,Murshidabad
577.6,25.24,67.5,-0.96,24.230399999999996,2692.0,2087.7,358.3,1.19,1.54,0.414,False,False,False,False,False,False,False,False,True,False,False,False,0,Assam,Morigaon
1981.0,18.6,265.4,-1.307,24.310200000000002,1304.0,932.8,115.6,4.77,8.58,0.508,False,False,True,False,False,False,False,False,False,False,False,False,0,Jammu & Kashmir,Doda
75.8,1.72,92.3,-0.069,0.11868000000000001,971.0,760.1,133.9,1.43,0.23,0.467,True,False,False,False,False,False,False,False,False,False,False,False,0,Uttar Pradesh,Gorakhpur
272.3,8.77,74.5,0.559,4.90243,574.8,469.5,41.4,1.66,1.97,0.301,True,False,False,False,False,False,False,False,False,False,False,False,0,Rajasthan,Barmer
217.6,1.11,247.6,-0.783,0.8691300000000001,1396.9,1142.3,117.5,1.63,0.81,0.526,False,False,False,False,False,False,False,False,False,False,True,False,0,Bihar,Supaul
1409.7,30.66,141.9,-2.523,77.35518,3721.3,2856.0,281.7,5.27,1.33,0.69,False,False,False,False,False,False,False,False,False,False,True,False,0,Karnataka,Uttara Kannada
553.8,4.18,28.6,0.175,0.7314999999999999,1329.5,1157.8,146.0,11.72,9.47,0.614,False,False,False,False,False,False,False,False,False,True,False,False,0,Madhya Pradesh,Balaghat
5.0,2.51,94.3,0.532,1.33532,1619.2,1249.1,273.2,2.17,1.7,0.36,False,False,False,False,False,False,False,False,False,True,False,False,0,Bihar,Supaul
212.9,1.66,72.1,0.023,0.03818,457.5,391.0,43.0,2.43,4.15,0.272,False,False,False,True,False,False,False,False,False,False,False,False,0,Rajasthan,Jaisalmer
314.0,9.34,112.8,-0.077,0.7191799999999999,428.7,314.8,48.1,2.13,2.0,0.144,False,False,False,False,False,False,False,False,True,False,False,False,0,Gujarat,Kutch
976.6,19.14,17.0,-0.414,7.92396,2388.8,1777.5,324.0,2.85,5.33,0.249,False,False,False,True,False,False,False,False,False,False,False,False,0,Assam,Morigaon
55.0,0.44,261.0,-0.36,0.15839999999999999,1236.3,1019.4,147.1,4.22,0.32,0.396,False,False,False,False,False,False,False,False,False,True,False,False,0,Uttar Pradesh,Gorakhpur
136.1,0.28,77.7,-0.285,0.0798,1350.0,980.1,123.9,2.41,1.08,0.497,True,False,False,False,False,False,False,False,False,False,False,False,0,Uttar Pradesh,Ballia
812.0,29.0,218.9,-1.5,43.5,3923.3,3090.0,550.0,12.99,0.52,0.312,True,False,False,False,False,False,False,False,False,False,False,False,0,Meghalaya,East Khasi Hills
2166.7,50.57,299.3,-2.962,149.78834,1377.7,1090.2,108.9,10.97,2.42,0.669,False,False,True,False,False,False,False,False,False,False,False,False,0,Uttarakhand,Rudraprayag
100.4,32.58,58.9,0.733,23.88114,3062.6,2634.0,322.9,0.45,3.17,0.904,False,False,False,False,False,False,False,False,False,True,False,False,0,Maharashtra,Raigad
865.7,21.96,0.0,0.967,21.23532,2488.1,2085.2,266.2,3.97,1.3,0.86,False,False,False,False,True,False,False,False,False,False,False,False,0,Kerala,Wayanad
2326.7,22.92,5.9,0.449,10.291080000000001,1348.5,1168.7,224.2,6.93,15.05,0.583,False,False,False,False,False,False,True,False,False,False,False,False,0,Jammu & Kashmir,Doda
1136.0,6.44,161.7,-0.558,3.5935200000000007,3873.7,2796.2,246.6,6.82,0.24,0.298,True,False,False,False,False,False,False,False,False,False,False,False,0,Meghalaya,East Khasi Hills
301.3,5.57,214.1,-0.409,2.27813,469.6,377.1,46.6,5.71,10.96,0.265,True,False,False,False,False,False,False,False,False,False,False,False,0,Rajasthan,Jaisalmer
1426.4,12.34,45.6,0.136,1.6782400000000002,2037.9,1663.2,145.9,3.47,0.19,0.17,True,False,False,False,False,False,False,False,False,False,False,False,0,Assam,Morigaon
3034.9,24.01,100.3,-0.408,9.79608,1722.8,1416.0,235.8,2.68,9.78,0.661,False,False,False,False,False,False,True,False,False,False,False,False,1,Jammu & Kashmir,Doda
