srtm_elevation_m,srtm_slope_deg,rainfall_24h_mm,rainfall_3day_mm,rainfall_7day_mm,label
247.0,2.78186346598435,3.97,17.8,88.68,0
1895.0,42.44492810164333,0.0,5.09,155.35,0
2487.0,37.605236696877,19.79,45.96,47.73,0
1581.0,3.47925693349424,12.28,74.72,78.31,1
715.0,28.76623451500503,129.88,249.77,335.92,0
2386.0,58.478521451591504,3.36,56.31,107.44,0
75.0,12.284413866136306,3.69,63.5,156.6,1
892.0,38.02030465081848,14.85,20.87,25.39,1
5415.0,4.257269345953565,1.94,11.12,42.4,0
132.0,1.9128926003573103,0.02,9.58,122.05,1
36.0,2.267633363462304,22.6,40.56,79.73,0
5162.0,19.296831892707527,3.88,3.88,4.68,0
1905.0,21.546238483331965,51.49,87.75,124.75,1
2901.0,46.31111915005979,0.0,0.06,0.72,1
2270.0,22.208228642052827,4.11,107.82,183.05,1
91.0,5.065027816280511,7.29,15.23,26.37,0
56.0,1.852254273911334,6.85,21.91,150.57999999999998,1
160.0,16.865567463034814,26.53,110.95,121.17,1
1333.0,37.85071779074206,0.15,2.71,65.13000000000001,1
4421.0,52.31670664482888,41.92,71.87,100.29,0
5395.0,39.15227753398681,23.82,31.94,31.98,0
1681.0,14.317101657264717,10.59,57.370000000000005,84.92,0
4137.0,37.80115054556481,0.53,3.3200000000000003,13.009999999999998,0
1838.0,13.9074099893744,5.78,14.93,47.43,1
4795.0,37.654078539667005,4.47,4.88,12.29,0
1513.0,33.88948141819591,11.86,53.09,65.68,1
4164.0,37.95058849715842,0.95,2.9400000000000004,15.4,0
466.0,10.96582090777578,44.66,64.03999999999999,133.08999999999995,1
66.0,15.16340754793738,87.25,102.33,195.44,1
3638.0,19.313037187831327,32.4,37.72,61.34,0
40.0,6.336203369028353,9.95,28.93,106.02,0
297.0,1.855385510825832,19.62,34.44,38.61,0
1509.0,26.09338190957656,53.15,77.12,126.39,1
1048.0,18.071236741109864,3.3,20.39,42.46999999999999,1
70.0,4.791106806232782,1.88,32.96,115.58,1
784.0,1.3781307546716215,2.82,30.15,52.12,1
39.0,0.9648430707504952,52.35,102.6,136.48000000000002,0
2257.0,15.331837080732674,19.15,44.71,67.98,1
56.0,5.683751421055114,15.51,170.88,310.55,1
1823.0,43.87678538098061,14.38,45.31,70.6,1
931.0,20.94185253514824,4.9,104.34,121.77,1
1612.0,44.82498141581394,0.88,0.88,1.2000000000000002,1
247.0,8.611886660284798,18.99,136.53,200.42,0
1175.0,33.37106500187469,2.09,71.58,85.55000000000001,1
1555.0,53.70787415680822,0.14,1.59,107.51999999999998,0
1393.0,14.27107053574802,4.21,9.26,33.41,1
768.0,24.64408694152729,4.32,6.93,47.01,0
44.0,0.9653243801871292,9.63,24.72,170.46,0
2776.0,28.452709122101083,5.91,51.99,80.22999999999999,0
159.0,4.741964424068231,12.06,34.690000000000005,43.720000000000006,0
1447.0,14.556847113743345,14.54,49.88,64.61,0
145.0,5.55400861892472,126.76,191.59,231.7,1
5.0,0.9405635329609184,4.21,23.68,109.75,0
876.0,31.16083503860741,10.53,17.0,32.21,1
886.0,25.642243710447005,0.01,0.01,0.01,1
-2.0,0.0,30.25,117.83,156.14999999999998,0
2874.0,26.01911194432273,1.23,33.129999999999995,57.34999999999999,1
2.0,0.9279360212320218,102.59,218.57,323.16,0
4762.0,9.33958725477088,64.15,96.31,121.9,0
2576.0,26.67987836118141,1.96,15.71,26.090000000000003,1
245.0,4.249822336068078,2.6,16.7,18.98,0
784.0,6.105271993336535,10.76,33.82,50.24999999999999,0
5946.0,32.188543860601285,21.73,26.54,84.49000000000001,0
4430.0,29.491075596371505,1.21,13.87,25.6,0
762.0,18.649763704509223,8.64,54.22,63.040000000000006,0
4162.0,15.390110042494245,0.0,0.0,0.14,0
4567.0,28.964894639021505,0.12,5.62,25.56,0
1227.0,45.94346572713728,1.38,1.45,62.080000000000005,1
264.0,21.18318174459727,0.09,3.44,33.2,1
905.0,30.801972163904992,2.13,254.0,459.50999999999993,1
1342.0,40.80605692263094,19.77,48.41,106.19,0
2431.0,44.87290445332066,1.43,38.43,46.7,0
1866.0,5.171963055521419,41.28,61.510000000000005,108.54,1
1504.0,16.261579422291064,0.38,1.0499999999999998,3.53,1
163.0,3.656397240844048,11.22,27.32,54.54,0
388.0,1.4239511833436695,0.0,1.2,1.2999999999999998,0
1504.0,9.40412013238775,49.93,121.20000000000002,150.53,1
1800.0,28.935182060076347,32.54,40.53,43.44,1
1457.0,33.92056164961375,1.71,136.33,228.82,1
186.0,0.9279360212320218,24.32,53.38,94.6,0
2546.0,36.55997880207136,23.52,99.47,155.78,0
4126.0,24.33820676440518,0.0,0.0,8.8,0
596.0,14.033001639822931,37.59,52.21000000000001,84.13,0
2029.0,25.551262031296154,24.38,74.62,160.20000000000002,0
66.0,0.0,139.52,211.1,252.22,0
3116.0,1.1248638569671252,6.49,6.49,8.91,1
51.0,13.056624496455845,26.15,95.75,168.22,1
159.0,4.741964424068231,12.55,40.34,100.43,0
